,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum
block_number,,,,,,,,,,,,,,,,,,,,
1,32.36,31.7,17.17,296.57,25.56,3690.63,458.53,2770,4248,3927.5,939.24,131.97,633,1250,935.0,0.01,0.11,0,1,1
2,31.88,24.54,18.24,212.15,26.39,4268.5,734.13,2955,5094,4516.0,946.78,160.63,703,1530,939.5,0.0,0.0,0,0,0
3,33.0,11.2,22.31,71.75,29.72,3751.59,610.78,2737,4506,3943.0,1087.12,104.6,842,1312,1090.5,0.0,0.0,0,0,0
4,33.8,15.15,22.14,94.69,28.29,4426.68,602.23,2774,5124,4652.0,1031.93,144.71,819,1431,1006.5,0.01,0.11,0,1,1
5,30.59,10.58,19.85,71.4,27.41,3746.88,501.82,2640,4391,3918.0,1006.91,225.53,690,2371,990.0,0.0,0.0,0,0,0
6,18.39,8.08,11.79,48.49,15.15,2966.7,434.56,1924,3645,3179.0,582.1,133.79,421,1203,542.5,0.0,0.0,0,0,0
