model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,average_initial_score,accuracy,max_judge_retries,baseline_full_doc
qwen3-next:80b-cloud,f0481941946e_20260201085328,4,40.52271223068237,1463,4635,0,,,,0,False
qwen3-next:80b-cloud,f0481941946e_20260201085328,5,58.05488085746765,2749,4250,0,,,,0,False
qwen3-next:80b-cloud,f0481941946e_20260201085328,6,24.659279346466064,1338,723,0,,,,0,False
qwen3-next:80b-cloud,b21c0656d50c_20260201085239,1,59.47512722015381,1398,2803,0,,,,0,False
qwen3-next:80b-cloud,b21c0656d50c_20260201085239,2,62.47350716590881,3377,5865,0,,,,0,False
qwen3-next:80b-cloud,b21c0656d50c_20260201085239,3,72.49198055267334,3417,8527,0,,,,0,False
qwen3-next:80b-cloud,b21c0656d50c_20260201085239,4,54.91059923171997,1463,4216,0,,,,0,False
qwen3-next:80b-cloud,b21c0656d50c_20260201085239,5,47.4735848903656,3391,3396,0,,,,0,False
qwen3-next:80b-cloud,b21c0656d50c_20260201085239,6,52.27995181083679,2621,1487,0,,,,0,False
qwen3-next:80b-cloud,7e01c7ddc2d4_20260201085643,1,34.341567039489746,1398,2469,0,,,,0,False
qwen3-next:80b-cloud,7e01c7ddc2d4_20260201085643,2,64.19235324859619,3377,3735,0,,,,0,False
qwen3-next:80b-cloud,7e01c7ddc2d4_20260201085643,3,46.442700147628784,3417,7529,0,,,,0,False
qwen3-next:80b-cloud,7e01c7ddc2d4_20260201085643,4,61.15352392196655,1463,4936,0,,,,0,False
qwen3-next:80b-cloud,7e01c7ddc2d4_20260201085643,5,49.393320083618164,3391,4679,0,,,,0,False
qwen3-next:80b-cloud,7e01c7ddc2d4_20260201085643,6,39.7372100353241,2621,1026,0,,,,0,False
qwen3-next:80b-cloud,51eaaf6de1e4_20260201085628,1,31.844470977783203,1398,2152,0,,,,0,False
qwen3-next:80b-cloud,51eaaf6de1e4_20260201085628,2,81.15259170532227,3376,8181,0,,,,0,False
qwen3-next:80b-cloud,51eaaf6de1e4_20260201085628,3,56.89407420158386,3416,7657,0,,,,0,False
qwen3-next:80b-cloud,51eaaf6de1e4_20260201085628,4,75.12632632255554,1463,5068,0,,,,0,False
qwen3-next:80b-cloud,51eaaf6de1e4_20260201085628,5,35.18838334083557,2749,3541,0,,,,0,False
qwen3-next:80b-cloud,51eaaf6de1e4_20260201085628,6,35.13711404800415,1980,1312,0,,,,0,False
qwen3-next:80b-cloud,754dfb7f9d42_20260201085557,1,37.98646020889282,1398,2157,0,,,,0,False
qwen3-next:80b-cloud,754dfb7f9d42_20260201085557,2,61.48822259902954,3377,7028,0,,,,0,False
qwen3-next:80b-cloud,754dfb7f9d42_20260201085557,3,90.9767735004425,3417,8564,0,,,,0,False
qwen3-next:80b-cloud,754dfb7f9d42_20260201085557,4,70.27004957199097,1463,6426,0,,,,0,False
qwen3-next:80b-cloud,754dfb7f9d42_20260201085557,5,56.662349700927734,3391,5189,0,,,,0,False
qwen3-next:80b-cloud,754dfb7f9d42_20260201085557,6,34.55824398994446,2621,868,0,,,,0,False
qwen3-next:80b-cloud,c811b43f380c_20260201085845,1,56.45314979553223,1398,2563,0,,,,0,False
qwen3-next:80b-cloud,c811b43f380c_20260201085845,2,54.970359325408936,3377,5187,0,,,,0,False
qwen3-next:80b-cloud,c811b43f380c_20260201085845,3,60.03967237472534,2776,8701,0,,,,0,False
qwen3-next:80b-cloud,c811b43f380c_20260201085845,4,44.836456298828125,1463,5975,0,,,,0,False
qwen3-next:80b-cloud,c811b43f380c_20260201085845,5,88.43191719055176,2750,4577,0,,,,0,False
qwen3-next:80b-cloud,c811b43f380c_20260201085845,6,25.048567295074463,2621,946,0,,,,0,False
qwen3-next:80b-cloud,c1e70a66596b_20260201085829,1,57.68290376663208,1398,1662,0,,,,0,False
qwen3-next:80b-cloud,c1e70a66596b_20260201085829,2,80.48902940750122,4017,7609,0,,,,0,False
qwen3-next:80b-cloud,c1e70a66596b_20260201085829,3,60.04377603530884,3416,7319,0,,,,0,False
qwen3-next:80b-cloud,c1e70a66596b_20260201085829,4,61.935500144958496,1463,5046,0,,,,0,False
qwen3-next:80b-cloud,c1e70a66596b_20260201085829,5,65.69571995735168,3390,3490,0,,,,0,False
qwen3-next:80b-cloud,c1e70a66596b_20260201085829,6,39.103615283966064,3248,1254,0,,,,0,False
qwen3-next:80b-cloud,42b1ce01890d_20260201090010,1,42.05102276802063,1398,2876,0,,,,0,False
qwen3-next:80b-cloud,42b1ce01890d_20260201090010,2,39.67253518104553,3377,3234,0,,,,0,False
qwen3-next:80b-cloud,42b1ce01890d_20260201090010,3,58.471251249313354,3417,8094,0,,,,0,False
qwen3-next:80b-cloud,42b1ce01890d_20260201090010,4,93.47375082969666,1463,5836,0,,,,0,False
qwen3-next:80b-cloud,42b1ce01890d_20260201090010,5,63.50987792015076,3391,6880,0,,,,0,False
qwen3-next:80b-cloud,42b1ce01890d_20260201090010,6,38.33883857727051,1980,1074,0,,,,0,False
qwen3-next:80b-cloud,7752dcd9cc82_20260201090043,1,30.399439811706543,1398,2748,0,,,,0,False
qwen3-next:80b-cloud,7752dcd9cc82_20260201090043,2,59.68172645568848,4018,6231,0,,,,0,False
qwen3-next:80b-cloud,7752dcd9cc82_20260201090043,3,82.67627263069153,3417,6164,0,,,,0,False
qwen3-next:80b-cloud,7752dcd9cc82_20260201090043,4,52.92907762527466,1463,5981,0,,,,0,False
qwen3-next:80b-cloud,7752dcd9cc82_20260201090043,5,48.29938578605652,3391,3777,0,,,,0,False
qwen3-next:80b-cloud,7752dcd9cc82_20260201090043,6,44.92161417007446,2621,1021,0,,,,0,False
qwen3-next:80b-cloud,76ad351d7ee4_20260201090016,1,32.69806098937988,1398,2133,0,,,,0,False
qwen3-next:80b-cloud,76ad351d7ee4_20260201090016,2,70.62118792533875,3377,8005,0,,,,0,False
qwen3-next:80b-cloud,76ad351d7ee4_20260201090016,3,101.76075625419617,4058,9141,0,,,,0,False
qwen3-next:80b-cloud,76ad351d7ee4_20260201090016,4,50.52262830734253,1463,5533,0,,,,0,False
qwen3-next:80b-cloud,76ad351d7ee4_20260201090016,5,67.49819898605347,3391,5515,0,,,,0,False
qwen3-next:80b-cloud,76ad351d7ee4_20260201090016,6,34.73498511314392,1338,1305,0,,,,0,False
qwen3-next:80b-cloud,f6be308653c4_20260201090333,1,35.6040313243866,1398,2796,0,,,,0,False
qwen3-next:80b-cloud,f6be308653c4_20260201090333,2,48.21629238128662,2735,4700,0,,,,0,False
qwen3-next:80b-cloud,f6be308653c4_20260201090333,3,58.16864800453186,3416,6474,0,,,,0,False
qwen3-next:80b-cloud,f6be308653c4_20260201090333,4,44.77978515625,1463,5174,0,,,,0,False
qwen3-next:80b-cloud,f6be308653c4_20260201090333,5,71.8758225440979,2749,6878,0,,,,0,False
qwen3-next:80b-cloud,f6be308653c4_20260201090333,6,41.04964995384216,1980,1263,0,,,,0,False
qwen3-next:80b-cloud,1e6b703edcff_20260201090308,1,46.277772426605225,1398,2531,0,,,,0,False
qwen3-next:80b-cloud,1e6b703edcff_20260201090308,2,41.7521812915802,3377,3723,0,,,,0,False
qwen3-next:80b-cloud,1e6b703edcff_20260201090308,3,88.96288108825684,2776,9091,0,,,,0,False
qwen3-next:80b-cloud,1e6b703edcff_20260201090308,4,67.20540308952332,1463,6363,0,,,,0,False
qwen3-next:80b-cloud,1e6b703edcff_20260201090308,5,59.83694887161255,2750,7763,0,,,,0,False
qwen3-next:80b-cloud,1e6b703edcff_20260201090308,6,21.426146507263184,2621,981,0,,,,0,False
qwen3-next:80b-cloud,dc0155d93419_20260201090813,1,40.94851732254028,7616,4226,0,,,,0,True
qwen3-next:80b-cloud,011633e91305_20260201090821,1,39.50364327430725,7617,5347,0,,,,0,True
qwen3-next:80b-cloud,ba3e74440635_20260201091023,1,60.119892835617065,7619,5153,0,,,,0,True
qwen3-next:80b-cloud,9f62926dbe2f_20260201090530,1,43.85460138320923,1398,2306,0,,,,0,False
qwen3-next:80b-cloud,9f62926dbe2f_20260201090530,2,62.664369106292725,2736,6492,0,,,,0,False
qwen3-next:80b-cloud,9f62926dbe2f_20260201090530,3,73.74783062934875,2776,7025,0,,,,0,False
qwen3-next:80b-cloud,9f62926dbe2f_20260201090530,4,52.58700466156006,1463,5443,0,,,,0,False
qwen3-next:80b-cloud,9f62926dbe2f_20260201090530,5,90.16446352005005,2750,5186,0,,,,0,False
qwen3-next:80b-cloud,9f62926dbe2f_20260201090530,6,50.528387784957886,2621,1202,0,,,,0,False
qwen3-next:80b-cloud,f4c05d4763f2_20260201091119,1,55.520009994506836,7615,4617,0,,,,0,True
qwen3-next:80b-cloud,75f49d389dfb_20260201090723,1,62.72707438468933,1398,2770,0,,,,0,False
qwen3-next:80b-cloud,75f49d389dfb_20260201090723,2,55.50208139419556,3377,8818,0,,,,0,False
qwen3-next:80b-cloud,75f49d389dfb_20260201090723,3,87.20706534385681,2776,5482,0,,,,0,False
qwen3-next:80b-cloud,75f49d389dfb_20260201090723,4,55.888012170791626,1463,4126,0,,,,0,False
qwen3-next:80b-cloud,75f49d389dfb_20260201090723,5,65.56791496276855,2750,3029,0,,,,0,False
qwen3-next:80b-cloud,75f49d389dfb_20260201090723,6,54.702717781066895,2621,1298,0,,,,0,False
qwen3-next:80b-cloud,8abae071e847_20260201091303,1,60.32589101791382,7617,3678,0,,,,0,True
qwen3-next:80b-cloud,37ff9fbe17dc_20260201090738,1,54.36604285240173,1398,3069,0,,,,0,False
qwen3-next:80b-cloud,37ff9fbe17dc_20260201090738,2,74.20295572280884,3376,8124,0,,,,0,False
qwen3-next:80b-cloud,37ff9fbe17dc_20260201090738,3,82.09131574630737,3416,7967,0,,,,0,False
qwen3-next:80b-cloud,37ff9fbe17dc_20260201090738,4,68.91459584236145,1463,6709,0,,,,0,False
qwen3-next:80b-cloud,37ff9fbe17dc_20260201090738,5,78.62381649017334,3390,7003,0,,,,0,False
qwen3-next:80b-cloud,37ff9fbe17dc_20260201090738,6,42.619035720825195,3248,4136,0,,,,0,False
qwen3-next:80b-cloud,cf4a1c4f7511_20260201090735,1,52.840471267700195,1398,2825,0,,,,0,False
qwen3-next:80b-cloud,cf4a1c4f7511_20260201090735,2,32.36724591255188,3377,5156,0,,,,0,False
qwen3-next:80b-cloud,cf4a1c4f7511_20260201090735,3,155.12713813781738,3417,8672,0,,,,0,False
qwen3-next:80b-cloud,cf4a1c4f7511_20260201090735,4,67.74620461463928,1463,5380,0,,,,0,False
qwen3-next:80b-cloud,cf4a1c4f7511_20260201090735,5,64.82902789115906,3391,3029,0,,,,0,False
qwen3-next:80b-cloud,cf4a1c4f7511_20260201090735,6,32.770325899124146,1980,761,0,,,,0,False
qwen3-next:80b-cloud,124a88098997_20260201091356,1,54.932353496551514,7617,5661,0,,,,0,True
qwen3-next:80b-cloud,080c65758e5b_20260201091421,1,81.51521229743958,7617,4803,0,,,,0,True
qwen3-next:80b-cloud,cfd585ca9e41_20260201091500,1,86.34284520149231,7611,4767,0,,,,0,True
qwen3-next:80b-cloud,e5fe14e2503e_20260201091554,1,55.67366337776184,7615,4202,0,,,,0,True
qwen3-next:80b-cloud,e65f4a144a27_20260201091604,1,79.71703338623047,7615,6204,0,,,,0,True
qwen3-next:80b-cloud,86d8d3458107_20260201091611,1,76.10946226119995,7615,4828,0,,,,0,True
qwen3-next:80b-cloud,edc21b4ba530_20260201091624,1,67.5371515750885,7617,4797,0,,,,0,True
qwen3-next:80b-cloud,d167e1d7122f_20260201091703,1,65.99058747291565,7621,6682,0,,,,0,True
