,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,
1,152.28,160.33,16.51,688.81,67.74,5420.3,2624.02,1450,9484,6199.0,1768.88,831.85,615,3897,1717.0,0.36,0.63,0,2,36,4.77,0.17,4.33,5.0,4.76
2,150.92,157.33,15.81,564.02,52.89,4416.62,705.98,2539,5531,4389.5,1165.78,268.17,429,1838,1160.0,0.64,0.78,0,2,32,4.69,0.47,3.0,5.0,4.75
3,202.66,190.54,18.31,571.28,120.63,4005.12,698.04,2158,5057,4027.0,1200.8,327.48,461,2054,1129.5,0.9,0.95,0,2,45,3.16,1.37,1.0,5.0,3.25
4,167.93,163.55,22.07,561.7,76.62,3615.56,1059.38,1826,5558,3425.5,1623.9,318.16,759,2234,1607.0,0.52,0.74,0,2,26,4.5,0.3,3.75,5.0,4.5
5,197.27,192.39,11.12,579.05,67.43,4031.84,682.96,2248,5045,3864.5,1184.54,371.66,318,2184,1219.0,0.88,0.96,0,2,44,4.34,0.46,3.5,5.0,4.0
6,56.39,41.14,7.78,138.37,44.73,3007.42,627.88,2009,4124,2639.0,309.02,137.74,178,1049,279.0,0.0,0.0,0,0,0,5.0,0.0,5.0,5.0,5.0
