,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,
1,245.27,245.5,12.16,857.6,100.11,4938.57,3430.51,0,10020,4569.5,2573.93,1198.05,0,6379,2155.0,0.73,0.86,0,2,73,4.52,0.36,3.0,5.0,4.62
2,145.9,162.4,10.04,581.81,76.21,2121.88,793.64,1485,6044,2133.0,623.2,168.93,379,1370,585.0,0.36,0.63,0,2,18,4.65,0.24,4.25,5.0,4.75
3,249.19,270.55,7.54,877.41,109.29,2328.76,665.83,1518,5777,2166.0,837.36,427.01,321,3238,751.5,0.9,0.95,0,2,45,4.46,0.5,2.75,5.0,4.5
4,205.88,230.3,13.63,976.94,111.18,1831.38,786.94,1162,6340,1511.0,1322.68,459.82,521,2479,1275.0,0.66,0.82,0,2,33,4.16,0.58,2.0,5.0,4.25
5,237.0,262.28,9.43,923.62,86.55,2176.4,690.36,1151,5107,2148.0,1376.2,554.05,483,2466,1337.5,0.66,0.85,0,2,33,4.63,0.3,3.75,5.0,4.75
6,117.23,144.41,4.08,545.62,37.76,1544.98,550.61,1373,4523,1373.0,311.52,276.0,38,1199,303.0,0.4,0.7,0,2,20,4.96,0.14,4.5,5.0,5.0
