,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,
1,329.6,390.2,22.91,1494.99,95.33,4916.95,3411.17,1450,9645,4662.5,2186.78,1110.83,571,5565,1977.5,0.64,0.81,0,2,64,4.54,0.38,3.0,5.0,4.67
2,253.08,256.01,19.91,798.68,94.46,2783.48,496.01,2125,3785,2753.5,1474.36,632.63,291,2912,1416.5,0.9,0.95,0,2,45,4.41,0.62,3.0,5.0,4.5
3,261.11,245.36,18.98,702.71,142.98,2865.3,422.69,2165,3946,2794.0,1379.02,578.56,269,2490,1330.5,0.94,1.0,0,2,47,2.74,1.39,1.0,5.0,2.75
4,230.5,230.55,19.55,670.67,74.62,1688.06,274.16,1195,2365,1526.0,1706.52,577.02,877,3497,1574.0,0.66,0.85,0,2,33,4.4,0.37,3.5,5.0,4.5
5,287.6,284.58,11.91,851.3,142.48,2788.9,444.24,1805,4096,2765.0,1531.56,720.61,304,3229,1472.5,0.86,0.93,0,2,43,4.08,1.1,1.0,5.0,4.5
6,82.39,71.42,10.93,265.13,51.46,1720.66,316.67,1381,2010,2010.0,353.14,106.9,143,627,330.0,0.0,0.0,0,0,0,5.0,0.0,5.0,5.0,5.0
