,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,
1,231.33,241.85,5.64,777.22,94.65,4981.68,3553.05,1069,10183,4744.5,1898.97,903.94,521,3532,1797.5,0.74,0.88,0,2,74,4.64,0.29,3.33,5.0,4.67
2,227.8,256.84,5.98,808.59,81.94,2349.32,415.74,1485,3364,2133.0,1002.92,374.97,320,1938,1007.0,0.82,0.92,0,2,41,4.26,0.52,3.25,5.0,4.25
3,241.45,251.33,7.81,841.55,91.57,2334.88,409.66,1169,2977,2166.0,1215.02,628.43,340,3180,1037.0,0.88,0.94,0,2,44,3.6,1.12,1.25,5.0,4.0
4,199.87,207.15,11.63,666.85,105.98,1721.04,340.36,1162,2289,1511.0,1481.28,648.78,522,2872,1498.0,0.8,0.88,0,2,40,4.22,0.7,1.75,5.0,4.25
5,200.34,215.38,8.41,886.98,89.79,2188.86,499.52,1151,2948,2148.0,1310.26,472.57,364,2491,1282.0,0.72,0.86,0,2,36,4.41,0.55,3.25,5.0,4.5
6,46.3,47.16,3.97,169.51,24.46,1373.0,0.0,1373,1373,1373.0,38.0,0.0,38,38,38.0,0.0,0.0,0,0,0,5.0,0.0,5.0,5.0,5.0
