,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum
block_number,,,,,,,,,,,,,,,,,,,,
1,28.6,16.42,11.6,86.51,25.59,4521.2,82.34,4501,4871,4503.0,1339.3,140.35,1081,1564,1343.5,0.05,0.22,0,1,1
2,76.38,17.59,52.75,119.37,77.55,5636.47,51.58,5542,5736,5637.0,1063.21,187.59,730,1501,1042.0,2.84,0.5,1,3,54
3,138.87,43.83,57.33,200.08,133.18,3252.6,2449.61,0,5118,4933.0,841.65,652.76,0,1578,1118.0,2.5,0.76,1,3,50
4,71.61,15.98,38.94,99.45,72.04,5564.6,57.68,5485,5724,5548.5,1023.9,193.43,722,1495,1028.0,2.75,0.64,1,3,55
5,72.43,31.17,28.61,122.86,75.54,4881.25,163.21,4550,5109,4923.0,1289.35,255.78,818,1650,1326.0,1.55,1.05,0,3,31
6,55.61,22.72,10.18,110.51,57.35,3922.65,65.13,3704,4022,3928.5,690.35,205.18,350,1155,643.5,2.55,0.89,0,3,51
