,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score,accuracy,accuracy,accuracy,accuracy,accuracy
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,218.4,215.83,7.39,869.61,99.3,5343.49,2600.41,1857,9622,6207.0,1496.92,776.88,226,3250,1556.0,0.63,0.87,0,2,63,4.18,1.05,1.0,5.0,4.79,0.79,0.16,0.43,0.95,0.86
2,208.47,247.4,6.09,790.16,48.24,3282.06,1272.65,2018,5593,2590.0,849.02,502.88,201,2263,844.0,0.54,0.81,0,2,27,4.8,0.33,3.75,5.0,5.0,0.66,0.13,0.43,0.9,0.67
3,300.2,291.54,10.61,759.74,33.29,2738.24,901.32,1829,4457,2407.0,1299.35,328.35,650,2408,1294.0,0.98,1.01,0,2,48,2.67,0.39,1.75,3.5,2.75,0.66,0.13,0.43,0.9,0.67
4,253.72,249.69,11.96,735.09,160.24,3716.88,1102.71,2777,5777,3269.5,1115.12,296.0,513,1793,1098.5,0.9,0.95,0,2,45,3.91,0.74,2.75,5.0,3.75,0.66,0.13,0.43,0.9,0.67
5,226.5,241.39,8.29,760.92,57.21,3065.94,1304.26,1926,5566,2547.5,1397.6,623.4,248,2732,1443.5,0.68,0.87,0,2,34,4.66,0.42,3.5,5.0,4.75,0.66,0.13,0.43,0.9,0.67
6,67.62,59.83,6.44,204.91,35.96,2779.0,947.92,1720,4353,2262.0,332.66,109.06,195,692,307.5,0.0,0.0,0,0,0,5.0,0.0,5.0,5.0,5.0,0.66,0.13,0.43,0.9,0.67
