,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,
1,131.23,135.28,4.66,424.91,54.87,4668.39,3250.95,754,8919,4456.0,1771.34,730.96,535,3487,1600.5,0.88,0.94,0,2,88,4.22,0.74,1.67,5.0,4.5
2,78.3,87.0,2.66,278.57,14.07,1389.36,248.34,930,1770,1279.0,693.88,137.26,381,1047,681.5,0.78,0.91,0,2,39,4.26,0.39,3.0,4.75,4.25
3,80.14,90.34,1.99,265.08,18.24,1599.64,300.54,1338,2588,1404.0,639.2,174.7,367,1044,611.5,0.66,0.82,0,2,33,4.41,0.51,3.0,5.0,4.5
4,99.2,109.48,2.68,308.74,32.43,1544.72,255.79,967,1942,1462.0,867.28,282.53,436,1694,884.5,0.84,0.91,0,2,42,4.01,0.54,2.5,4.75,4.0
5,91.91,110.0,4.28,475.46,22.0,1439.28,308.44,958,1937,1320.0,1344.74,492.81,604,3032,1291.5,0.74,0.9,0,2,37,4.34,0.32,3.75,4.75,4.5
6,50.92,67.87,2.02,243.98,12.15,1389.64,124.27,1331,1827,1331.0,524.04,183.82,187,949,524.5,0.3,0.65,0,2,15,4.88,0.22,4.5,5.0,5.0
