,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,
1,182.59,196.68,6.2,628.72,59.74,4644.07,3219.27,754,8970,4495.0,2335.42,977.48,603,4926,2252.5,0.8,0.92,0,2,80,4.32,0.66,1.67,5.0,4.5
2,76.68,85.75,3.88,284.99,20.14,1449.4,233.64,1141,1942,1279.0,764.82,179.0,517,1294,719.5,0.66,0.77,0,2,33,4.4,0.36,3.75,5.0,4.25
3,80.48,86.95,2.6,301.13,28.74,1550.5,265.54,1338,2169,1404.0,962.7,366.93,377,1912,986.5,0.56,0.76,0,2,28,4.55,0.31,4.0,5.0,4.5
4,112.31,103.15,5.62,276.9,77.33,1519.22,312.95,967,1957,1506.0,1372.34,719.53,523,3380,1090.5,0.86,0.93,0,2,43,3.91,0.66,2.25,5.0,4.0
5,122.86,115.52,5.48,342.75,74.37,1493.2,322.84,971,1991,1320.0,1428.36,582.89,793,3726,1195.5,0.74,0.85,0,2,37,4.58,0.37,3.75,5.0,4.75
6,46.8,70.85,2.24,300.48,8.38,1435.5,126.52,1331,1683,1331.0,279.06,219.71,38,908,288.5,0.48,0.61,0,2,24,4.94,0.17,4.5,5.0,5.0
