,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score,accuracy,accuracy,accuracy,accuracy,accuracy
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,224.22,208.82,16.18,858.33,122.77,4602.19,3296.22,754,8966,4463.5,2377.45,1346.04,538,8227,2308.5,0.76,0.89,0,2,76,4.48,0.64,1.67,5.0,4.67,0.89,0.06,0.71,1.0,0.9
2,181.71,204.13,13.15,881.09,94.03,1452.78,253.41,1141,1904,1279.0,804.32,214.54,484,1398,750.5,0.68,0.79,0,2,34,4.43,0.29,3.75,5.0,4.5,0.86,0.06,0.71,0.95,0.86
3,172.0,194.9,12.82,783.76,63.94,1546.0,281.12,989,1987,1338.0,773.96,244.76,467,1474,734.5,0.6,0.76,0,2,30,4.55,0.25,4.25,5.0,4.5,0.86,0.06,0.71,0.95,0.86
4,199.05,214.27,16.41,796.07,99.52,1553.16,247.32,1316,1907,1466.0,903.24,176.04,570,1318,887.0,0.78,0.86,0,2,39,4.08,0.41,3.0,4.75,4.25,0.86,0.06,0.71,0.95,0.86
5,146.97,174.09,15.98,684.48,64.97,1472.68,240.52,971,1960,1320.0,1181.6,357.36,655,2110,1069.0,0.5,0.76,0,2,25,4.6,0.31,3.75,5.0,4.5,0.86,0.06,0.71,0.95,0.86
6,52.4,48.69,4.55,191.33,28.94,1331.0,0.0,1331,1331,1331.0,38.0,0.0,38,38,38.0,0.0,0.0,0,0,0,5.0,0.0,5.0,5.0,5.0,0.86,0.06,0.71,0.95,0.86
