model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,accuracy,max_judge_retries,baseline_full_doc
qwen3-next:80b-cloud,78818c21f4ba_20260131044903,1,276.7076108455658,1371,5671,1,5.0,0.8571428571428571,2,False
qwen3-next:80b-cloud,78818c21f4ba_20260131044903,2,153.08553791046143,1242,3794,0,4.75,0.8571428571428571,2,False
qwen3-next:80b-cloud,78818c21f4ba_20260131044903,3,364.3575608730316,1690,6129,1,5.0,0.8571428571428571,2,False
qwen3-next:80b-cloud,78818c21f4ba_20260131044903,4,368.62271642684937,1584,3799,1,4.25,0.8571428571428571,2,False
qwen3-next:80b-cloud,78818c21f4ba_20260131044903,5,497.09068727493286,1617,4501,1,4.75,0.8571428571428571,2,False
qwen3-next:80b-cloud,78818c21f4ba_20260131044903,6,166.19646859169006,1293,1416,0,5.0,0.8571428571428571,2,False
qwen3-next:80b-cloud,d0522a6569c5_20260131044532,1,471.4145917892456,1235,5388,2,3.0,0.8571428571428571,2,False
qwen3-next:80b-cloud,d0522a6569c5_20260131044532,2,212.1941261291504,1242,3739,0,5.0,0.8571428571428571,2,False
qwen3-next:80b-cloud,d0522a6569c5_20260131044532,3,450.9666609764099,1683,7280,1,5.0,0.8571428571428571,2,False
qwen3-next:80b-cloud,d0522a6569c5_20260131044532,4,726.8659529685974,1723,5008,2,4.0,0.8571428571428571,2,False
qwen3-next:80b-cloud,d0522a6569c5_20260131044532,5,341.6991891860962,1738,7494,1,4.5,0.8571428571428571,2,False
qwen3-next:80b-cloud,d0522a6569c5_20260131044532,6,144.01240015029907,1293,1162,0,5.0,0.8571428571428571,2,False
qwen3-next:80b-cloud,67add135d439_20260131045408,1,487.701447725296,1378,5334,2,3.6666666666666665,0.7619047619047619,2,False
qwen3-next:80b-cloud,67add135d439_20260131045408,2,189.0378577709198,1242,4843,0,4.75,0.7619047619047619,2,False
qwen3-next:80b-cloud,67add135d439_20260131045408,3,383.49945735931396,1723,5366,1,4.25,0.7619047619047619,2,False
qwen3-next:80b-cloud,67add135d439_20260131045408,4,668.3064646720886,1714,3964,2,4.25,0.7619047619047619,2,False
qwen3-next:80b-cloud,67add135d439_20260131045408,5,150.38991570472717,1289,4107,0,5.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,67add135d439_20260131045408,6,240.10879230499268,1293,1120,0,5.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,25956e891937_20260131045110,1,521.0514960289001,1418,5119,2,3.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,25956e891937_20260131045110,2,460.56625628471375,1415,5128,1,4.75,0.7619047619047619,2,False
qwen3-next:80b-cloud,25956e891937_20260131045110,3,354.89040541648865,1315,3410,0,5.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,25956e891937_20260131045110,4,690.4838604927063,1663,9410,2,3.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,25956e891937_20260131045110,5,440.0759220123291,1634,3184,1,5.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,25956e891937_20260131045110,6,129.88444304466248,1293,1041,0,5.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,4506feddc2ad_20260131052225,1,611.5496139526367,1408,4209,2,3.6666666666666665,0.6666666666666666,2,False
qwen3-next:80b-cloud,4506feddc2ad_20260131052225,2,349.0255641937256,1572,2253,1,4.75,0.6666666666666666,2,False
qwen3-next:80b-cloud,4506feddc2ad_20260131052225,3,641.4282157421112,1726,4431,2,4.75,0.6666666666666666,2,False
qwen3-next:80b-cloud,4506feddc2ad_20260131052225,4,290.41063356399536,1591,7273,1,5.0,0.6666666666666666,2,False
qwen3-next:80b-cloud,4506feddc2ad_20260131052225,5,146.366042137146,1289,6244,0,5.0,0.6666666666666666,2,False
qwen3-next:80b-cloud,4506feddc2ad_20260131052225,6,100.11595249176025,1293,1304,0,5.0,0.6666666666666666,2,False
qwen3-next:80b-cloud,e013e3c10cd2_20260131053629,1,496.9226586818695,1391,3682,2,3.6666666666666665,0.47619047619047616,2,False
qwen3-next:80b-cloud,e013e3c10cd2_20260131053629,2,269.05119943618774,1364,4195,1,5.0,0.47619047619047616,2,False
qwen3-next:80b-cloud,e013e3c10cd2_20260131053629,3,306.95486760139465,1791,2480,1,5.0,0.47619047619047616,2,False
qwen3-next:80b-cloud,e013e3c10cd2_20260131053629,4,90.47957015037537,1267,1763,0,5.0,0.47619047619047616,2,False
qwen3-next:80b-cloud,e013e3c10cd2_20260131053629,5,183.41453647613525,1289,5788,0,5.0,0.47619047619047616,2,False
qwen3-next:80b-cloud,e013e3c10cd2_20260131053629,6,138.13421368598938,1293,1540,0,5.0,0.47619047619047616,2,False
qwen3-next:80b-cloud,e12b4875a3f9_20260131053814,1,331.5185716152191,1376,4862,1,5.0,0.9047619047619048,2,False
qwen3-next:80b-cloud,e12b4875a3f9_20260131053814,2,186.5915355682373,1242,4237,0,4.5,0.9047619047619048,2,False
qwen3-next:80b-cloud,e12b4875a3f9_20260131053814,3,298.33188128471375,1749,6341,1,4.5,0.9047619047619048,2,False
qwen3-next:80b-cloud,e12b4875a3f9_20260131053814,4,381.0697531700134,1557,6929,2,4.5,0.9047619047619048,2,False
qwen3-next:80b-cloud,e12b4875a3f9_20260131053814,5,258.2596640586853,1735,7474,1,5.0,0.9047619047619048,2,False
qwen3-next:80b-cloud,e12b4875a3f9_20260131053814,6,84.1458477973938,1293,711,0,5.0,0.9047619047619048,2,False
qwen3-next:80b-cloud,4ca1fcd26479_20260131053344,1,318.12104201316833,1356,5539,1,5.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,4ca1fcd26479_20260131053344,2,499.91577768325806,1597,4395,2,4.75,0.7619047619047619,2,False
qwen3-next:80b-cloud,4ca1fcd26479_20260131053344,3,198.88452124595642,1315,3160,0,5.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,4ca1fcd26479_20260131053344,4,504.01701164245605,1651,7135,2,4.25,0.7619047619047619,2,False
qwen3-next:80b-cloud,4ca1fcd26479_20260131053344,5,272.51185870170593,1625,5323,1,5.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,4ca1fcd26479_20260131053344,6,73.90963673591614,1293,1113,0,5.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,1de2e8ef49eb_20260131060229,1,208.2616081237793,1332,6065,1,5.0,0.47619047619047616,2,False
qwen3-next:80b-cloud,1de2e8ef49eb_20260131060229,2,350.2087574005127,1401,5481,1,5.0,0.47619047619047616,2,False
qwen3-next:80b-cloud,1de2e8ef49eb_20260131060229,3,108.14424276351929,1315,4335,0,5.0,0.47619047619047616,2,False
qwen3-next:80b-cloud,1de2e8ef49eb_20260131060229,4,85.19763946533203,1267,1470,0,5.0,0.47619047619047616,2,False
qwen3-next:80b-cloud,1de2e8ef49eb_20260131060229,5,168.5565140247345,1289,4915,0,5.0,0.47619047619047616,2,False
qwen3-next:80b-cloud,1de2e8ef49eb_20260131060229,6,62.1126971244812,1293,1245,0,5.0,0.47619047619047616,2,False
qwen3-next:80b-cloud,76b2e2f6bd62_20260131055942,1,242.0840311050415,1409,7152,1,4.666666666666667,0.8571428571428571,2,False
qwen3-next:80b-cloud,76b2e2f6bd62_20260131055942,2,104.74466872215271,1242,4526,0,4.75,0.8571428571428571,2,False
qwen3-next:80b-cloud,76b2e2f6bd62_20260131055942,3,310.80924677848816,1735,4917,1,5.0,0.8571428571428571,2,False
qwen3-next:80b-cloud,76b2e2f6bd62_20260131055942,4,346.5906114578247,1621,2943,2,3.75,0.8571428571428571,2,False
qwen3-next:80b-cloud,76b2e2f6bd62_20260131055942,5,295.2100167274475,1756,4772,1,5.0,0.8571428571428571,2,False
qwen3-next:80b-cloud,76b2e2f6bd62_20260131055942,6,90.9844582080841,1293,901,0,5.0,0.8571428571428571,2,False
qwen3-next:80b-cloud,c3225f3773c7_20260131060614,1,331.77472400665283,1388,2832,2,3.6666666666666665,0.6666666666666666,2,False
qwen3-next:80b-cloud,c3225f3773c7_20260131060614,2,77.50193762779236,1242,4990,0,4.5,0.6666666666666666,2,False
qwen3-next:80b-cloud,c3225f3773c7_20260131060614,3,225.8778314590454,1703,5546,1,5.0,0.6666666666666666,2,False
qwen3-next:80b-cloud,c3225f3773c7_20260131060614,4,431.2455232143402,1551,3607,2,1.75,0.6666666666666666,2,False
qwen3-next:80b-cloud,c3225f3773c7_20260131060614,5,205.77334094047546,1653,3918,1,4.75,0.6666666666666666,2,False
qwen3-next:80b-cloud,c3225f3773c7_20260131060614,6,60.7362756729126,1293,1220,0,5.0,0.6666666666666666,2,False
qwen3-next:80b-cloud,0d1ad7efd8b5_20260131061052,1,243.48088788986206,1338,5248,2,3.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,0d1ad7efd8b5_20260131061052,2,197.14475750923157,1565,4469,1,4.75,0.7619047619047619,2,False
qwen3-next:80b-cloud,0d1ad7efd8b5_20260131061052,3,182.27382493019104,1315,4827,0,5.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,0d1ad7efd8b5_20260131061052,4,235.58996987342834,1574,5965,1,4.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,0d1ad7efd8b5_20260131061052,5,152.8416337966919,1289,6095,0,4.5,0.7619047619047619,2,False
qwen3-next:80b-cloud,0d1ad7efd8b5_20260131061052,6,103.44972562789917,1293,952,0,5.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,c0a6a91e55ab_20260131062002,1,315.34103441238403,1400,4017,2,3.6666666666666665,0.7142857142857143,2,False
qwen3-next:80b-cloud,c0a6a91e55ab_20260131062002,2,251.94758248329163,1393,5943,1,4.25,0.7142857142857143,2,False
