,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score,accuracy,accuracy,accuracy,accuracy,accuracy
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,233.56,215.08,20.1,752.95,96.11,4596.56,2961.99,1113,8606,5483.5,1411.63,741.62,135,3017,1318.0,0.83,0.92,0,2,83,3.9,1.17,1.0,5.0,4.57,0.83,0.13,0.38,1.0,0.86
2,179.79,186.27,20.17,660.64,66.25,1821.66,756.11,1153,4138,1581.0,845.6,322.03,181,1629,918.5,0.66,0.92,0,2,33,4.2,0.84,2.0,5.0,4.5,0.74,0.12,0.38,0.9,0.76
3,179.3,174.38,29.62,619.69,74.67,2067.28,720.45,1364,3954,1882.0,1472.0,431.54,671,2586,1404.5,0.62,0.85,0,2,31,4.48,0.5,3.5,5.0,4.5,0.74,0.12,0.38,0.9,0.76
4,194.6,170.96,29.3,523.09,72.69,2029.02,759.89,1326,4321,1749.0,1090.88,307.36,273,1817,1089.5,0.78,0.91,0,2,39,4.16,0.56,2.0,4.75,4.25,0.74,0.12,0.38,0.9,0.76
5,162.51,143.43,25.34,481.33,68.75,1884.46,635.45,1335,3867,1758.0,1404.42,300.73,853,2048,1461.5,0.58,0.76,0,2,29,4.73,0.33,3.75,5.0,4.75,0.74,0.12,0.38,0.9,0.76
6,73.2,42.61,16.6,176.05,59.34,1602.04,520.32,1323,3114,1323.0,246.9,64.1,156,447,255.5,0.0,0.0,0,0,0,5.0,0.0,5.0,5.0,5.0,0.74,0.12,0.38,0.9,0.76
