model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,average_initial_score,accuracy,max_judge_retries,baseline_full_doc
gpt-oss:20b-cloud,9db02dfb2ccb_20260202072810,3,20.72942328453064,1314,323,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,9db02dfb2ccb_20260202072810,4,37.744988203048706,1589,1853,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,9db02dfb2ccb_20260202072810,5,23.91712999343872,1285,460,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,9db02dfb2ccb_20260202072810,6,48.12349271774292,1018,2801,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,8c79b115659c_20260202072954,1,40.6730055809021,1407,916,0,,,0.47619047619047616,0,False
gpt-oss:20b-cloud,8c79b115659c_20260202072954,2,15.844207286834717,1349,669,0,,,0.47619047619047616,0,False
gpt-oss:20b-cloud,8c79b115659c_20260202072954,3,30.759875297546387,1314,432,0,,,0.47619047619047616,0,False
gpt-oss:20b-cloud,8c79b115659c_20260202072954,4,44.55640196800232,1589,2500,0,,,0.47619047619047616,0,False
gpt-oss:20b-cloud,8c79b115659c_20260202072954,5,25.95679998397827,1285,599,0,,,0.47619047619047616,0,False
gpt-oss:20b-cloud,8c79b115659c_20260202072954,6,31.049830675125122,1018,404,0,,,0.47619047619047616,0,False
gpt-oss:20b-cloud,c8aa2bdd0abf_20260202073036,1,24.228840827941895,1407,933,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,c8aa2bdd0abf_20260202073036,2,45.475414991378784,1349,1821,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,c8aa2bdd0abf_20260202073036,3,35.139689445495605,1314,310,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,c8aa2bdd0abf_20260202073036,4,30.13106393814087,1589,1974,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,c8aa2bdd0abf_20260202073036,5,35.776623010635376,1285,806,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,c8aa2bdd0abf_20260202073036,6,42.76535892486572,1018,1156,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,a6c0d5615e5f_20260202073145,1,32.00652503967285,1407,1131,0,,,0.5714285714285714,0,False
gpt-oss:20b-cloud,a6c0d5615e5f_20260202073145,2,25.953006744384766,1349,1491,0,,,0.5714285714285714,0,False
gpt-oss:20b-cloud,a6c0d5615e5f_20260202073145,3,24.12595272064209,1314,358,0,,,0.5714285714285714,0,False
gpt-oss:20b-cloud,a6c0d5615e5f_20260202073145,4,58.57671809196472,1589,2187,0,,,0.5714285714285714,0,False
gpt-oss:20b-cloud,a6c0d5615e5f_20260202073145,5,37.418314695358276,1285,1433,0,,,0.5714285714285714,0,False
gpt-oss:20b-cloud,a6c0d5615e5f_20260202073145,6,61.37334632873535,1018,2814,0,,,0.5714285714285714,0,False
gpt-oss:20b-cloud,40b4b529dc20_20260202073226,1,32.399741649627686,1407,1337,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,40b4b529dc20_20260202073226,2,45.996843099594116,1349,1611,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,40b4b529dc20_20260202073226,3,29.021966218948364,1314,287,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,40b4b529dc20_20260202073226,4,47.17804503440857,1589,2321,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,40b4b529dc20_20260202073226,5,39.782893657684326,1285,1552,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,40b4b529dc20_20260202073226,6,41.18348503112793,1018,2582,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,7f3fafd93dea_20260202073326,1,31.305431842803955,1407,1035,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,7f3fafd93dea_20260202073326,2,30.626060962677002,1349,991,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,7f3fafd93dea_20260202073326,3,33.96927571296692,1314,234,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,7f3fafd93dea_20260202073326,4,52.86471724510193,1589,2786,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,7f3fafd93dea_20260202073326,5,51.322630405426025,1285,713,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,7f3fafd93dea_20260202073326,6,46.411001205444336,1018,2759,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,f5787b99aed8_20260202073353,1,35.37500071525574,1407,1455,0,,,0.47619047619047616,0,False
gpt-oss:20b-cloud,f5787b99aed8_20260202073353,2,55.919419288635254,1349,2269,0,,,0.47619047619047616,0,False
