model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,average_initial_score,extraction_rate,accuracy,max_judge_retries,baseline_full_doc
ministral-3:3b-cloud,6beeca520e98_20260202164356,1,64.47594213485718,1394,1230,0,,,80.95238095238095,0.6666666666666666,0,False
ministral-3:3b-cloud,6beeca520e98_20260202164356,2,144.85671520233154,1340,668,0,,,80.95238095238095,0.6666666666666666,0,False
ministral-3:3b-cloud,6beeca520e98_20260202164356,3,41.22991323471069,1307,1155,0,,,80.95238095238095,0.6666666666666666,0,False
ministral-3:3b-cloud,6beeca520e98_20260202164356,4,43.9859402179718,1595,1081,0,,,80.95238095238095,0.6666666666666666,0,False
ministral-3:3b-cloud,6beeca520e98_20260202164356,5,40.60940217971802,1289,1367,0,,,80.95238095238095,0.6666666666666666,0,False
ministral-3:3b-cloud,6beeca520e98_20260202164356,6,48.45470309257507,1053,1084,0,,,80.95238095238095,0.6666666666666666,0,False
ministral-3:3b-cloud,234cb3341a8f_20260202164759,1,43.35253381729126,1394,1575,0,,,80.95238095238095,0.7619047619047619,0,False
ministral-3:3b-cloud,234cb3341a8f_20260202164759,2,32.53021812438965,1340,498,0,,,80.95238095238095,0.7619047619047619,0,False
ministral-3:3b-cloud,234cb3341a8f_20260202164759,3,58.073416233062744,1307,403,0,,,80.95238095238095,0.7619047619047619,0,False
ministral-3:3b-cloud,234cb3341a8f_20260202164759,4,15.822792768478394,1595,2525,0,,,80.95238095238095,0.7619047619047619,0,False
ministral-3:3b-cloud,234cb3341a8f_20260202164759,5,38.25585222244263,1289,1273,0,,,80.95238095238095,0.7619047619047619,0,False
ministral-3:3b-cloud,234cb3341a8f_20260202164759,6,37.44506025314331,1053,1100,0,,,80.95238095238095,0.7619047619047619,0,False
ministral-3:3b-cloud,d229ad6a36c6_20260202164843,1,41.40350103378296,2083,2557,0,,,85.71428571428571,0.8571428571428571,0,False
ministral-3:3b-cloud,d229ad6a36c6_20260202164843,2,51.44550108909607,1340,578,0,,,85.71428571428571,0.8571428571428571,0,False
ministral-3:3b-cloud,d229ad6a36c6_20260202164843,3,14.886826992034912,1307,386,0,,,85.71428571428571,0.8571428571428571,0,False
ministral-3:3b-cloud,d229ad6a36c6_20260202164843,4,46.228543281555176,1595,2224,0,,,85.71428571428571,0.8571428571428571,0,False
ministral-3:3b-cloud,d229ad6a36c6_20260202164843,5,47.087178230285645,1289,1124,0,,,85.71428571428571,0.8571428571428571,0,False
ministral-3:3b-cloud,d229ad6a36c6_20260202164843,6,41.935774087905884,1053,710,0,,,85.71428571428571,0.8571428571428571,0,False
ministral-3:3b-cloud,1de51c0cf323_20260202164857,1,45.4550883769989,2083,3050,0,,,66.66666666666666,0.6666666666666666,0,False
ministral-3:3b-cloud,1de51c0cf323_20260202164857,2,39.87874245643616,1340,756,0,,,66.66666666666666,0.6666666666666666,0,False
ministral-3:3b-cloud,1de51c0cf323_20260202164857,3,37.59975552558899,1307,442,0,,,66.66666666666666,0.6666666666666666,0,False
ministral-3:3b-cloud,1de51c0cf323_20260202164857,4,40.71118903160095,1595,1143,0,,,66.66666666666666,0.6666666666666666,0,False
ministral-3:3b-cloud,1de51c0cf323_20260202164857,5,66.67792320251465,940,441,0,,,66.66666666666666,0.6666666666666666,0,False
ministral-3:3b-cloud,1de51c0cf323_20260202164857,6,24.626665353775024,1053,1207,0,,,66.66666666666666,0.6666666666666666,0,False
ministral-3:3b-cloud,3e6c013eb081_20260202165145,1,44.737282037734985,2083,2737,0,,,80.95238095238095,0.7142857142857143,0,False
ministral-3:3b-cloud,3e6c013eb081_20260202165145,2,38.86697173118591,991,336,0,,,80.95238095238095,0.7142857142857143,0,False
ministral-3:3b-cloud,3e6c013eb081_20260202165145,3,10.831111907958984,1307,364,0,,,80.95238095238095,0.7142857142857143,0,False
ministral-3:3b-cloud,3e6c013eb081_20260202165145,4,35.07797360420227,1246,1399,0,,,80.95238095238095,0.7142857142857143,0,False
ministral-3:3b-cloud,3e6c013eb081_20260202165145,5,17.983438730239868,1289,1339,0,,,80.95238095238095,0.7142857142857143,0,False
ministral-3:3b-cloud,3e6c013eb081_20260202165145,6,7.3088719844818115,1053,1098,0,,,80.95238095238095,0.7142857142857143,0,False
ministral-3:3b-cloud,ba5d564262e7_20260202165352,1,22.817166805267334,1045,957,0,,,80.95238095238095,0.8095238095238095,0,False
ministral-3:3b-cloud,ba5d564262e7_20260202165352,2,9.183107137680054,1340,627,0,,,80.95238095238095,0.8095238095238095,0,False
ministral-3:3b-cloud,ba5d564262e7_20260202165352,3,15.728004693984985,1307,411,0,,,80.95238095238095,0.8095238095238095,0,False
ministral-3:3b-cloud,ba5d564262e7_20260202165352,4,9.86655569076538,1595,1377,0,,,80.95238095238095,0.8095238095238095,0,False
ministral-3:3b-cloud,ba5d564262e7_20260202165352,5,22.754925966262817,1289,1991,0,,,80.95238095238095,0.8095238095238095,0,False
ministral-3:3b-cloud,ba5d564262e7_20260202165352,6,10.639032125473022,1053,1165,0,,,80.95238095238095,0.8095238095238095,0,False
ministral-3:3b-cloud,4d9a3f1e0839_20260202165411,1,19.507724285125732,2083,2877,0,,,85.71428571428571,0.8571428571428571,0,False
ministral-3:3b-cloud,4d9a3f1e0839_20260202165411,2,13.916056871414185,1340,745,0,,,85.71428571428571,0.8571428571428571,0,False
ministral-3:3b-cloud,4d9a3f1e0839_20260202165411,3,17.51297903060913,1307,604,0,,,85.71428571428571,0.8571428571428571,0,False
ministral-3:3b-cloud,4d9a3f1e0839_20260202165411,4,18.09197974205017,1595,1924,0,,,85.71428571428571,0.8571428571428571,0,False
ministral-3:3b-cloud,4d9a3f1e0839_20260202165411,5,25.66050696372986,1289,1613,0,,,85.71428571428571,0.8571428571428571,0,False
ministral-3:3b-cloud,4d9a3f1e0839_20260202165411,6,11.030517578125,1053,563,0,,,85.71428571428571,0.8571428571428571,0,False
ministral-3:3b-cloud,d2a3331b00a3_20260202165402,1,10.634524822235107,2083,1749,0,,,66.66666666666666,0.6666666666666666,0,False
ministral-3:3b-cloud,d2a3331b00a3_20260202165402,2,9.515482902526855,1340,567,0,,,66.66666666666666,0.6666666666666666,0,False
ministral-3:3b-cloud,d2a3331b00a3_20260202165402,3,40.880022287368774,1307,347,0,,,66.66666666666666,0.6666666666666666,0,False
ministral-3:3b-cloud,d2a3331b00a3_20260202165402,4,11.309149503707886,1595,1293,0,,,66.66666666666666,0.6666666666666666,0,False
ministral-3:3b-cloud,d2a3331b00a3_20260202165402,5,31.17385506629944,940,396,0,,,66.66666666666666,0.6666666666666666,0,False
ministral-3:3b-cloud,d2a3331b00a3_20260202165402,6,17.60785984992981,1053,1147,0,,,66.66666666666666,0.6666666666666666,0,False
ministral-3:3b-cloud,ccb25b11887b_20260202165350,1,67.2813811302185,2083,4441,0,,,85.71428571428571,0.8571428571428571,0,False
ministral-3:3b-cloud,ccb25b11887b_20260202165350,2,11.928275108337402,1340,558,0,,,85.71428571428571,0.8571428571428571,0,False
ministral-3:3b-cloud,ccb25b11887b_20260202165350,3,9.807912111282349,1307,356,0,,,85.71428571428571,0.8571428571428571,0,False
ministral-3:3b-cloud,ccb25b11887b_20260202165350,4,25.459983587265015,1595,2221,0,,,85.71428571428571,0.8571428571428571,0,False
ministral-3:3b-cloud,ccb25b11887b_20260202165350,5,16.599191665649414,1289,2067,0,,,85.71428571428571,0.8571428571428571,0,False
ministral-3:3b-cloud,ccb25b11887b_20260202165350,6,9.735008955001831,1053,722,0,,,85.71428571428571,0.8571428571428571,0,False
ministral-3:3b-cloud,cbf52cbae6c5_20260202165421,1,35.0373055934906,1734,3185,0,,,71.42857142857143,0.7142857142857143,0,False
ministral-3:3b-cloud,cbf52cbae6c5_20260202165421,2,11.613697052001953,1340,540,0,,,71.42857142857143,0.7142857142857143,0,False
ministral-3:3b-cloud,cbf52cbae6c5_20260202165421,3,9.473008155822754,1307,664,0,,,71.42857142857143,0.7142857142857143,0,False
ministral-3:3b-cloud,cbf52cbae6c5_20260202165421,4,13.560652494430542,1595,1173,0,,,71.42857142857143,0.7142857142857143,0,False
ministral-3:3b-cloud,cbf52cbae6c5_20260202165421,5,33.9522180557251,940,425,0,,,71.42857142857143,0.7142857142857143,0,False
ministral-3:3b-cloud,cbf52cbae6c5_20260202165421,6,12.00130581855774,1053,606,0,,,71.42857142857143,0.7142857142857143,0,False
