,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,
1,232.03,196.76,12.9,710.78,128.73,4439.07,3070.14,1066,8527,5617.0,4465.16,1322.68,2083,7669,4317.0,0.69,0.83,0,2,69,4.41,0.63,3.0,5.0,4.71
2,159.1,161.61,17.46,614.09,81.18,1504.88,633.48,1109,4183,1362.0,3491.4,1742.19,956,8199,3766.5,0.36,0.63,0,2,18,4.69,0.41,3.0,5.0,4.75
3,194.8,185.54,23.3,703.59,101.03,1736.4,611.38,1315,3981,1685.0,4119.08,1325.92,1770,7280,3980.5,0.44,0.64,0,2,22,4.85,0.28,4.0,5.0,5.0
4,238.29,224.4,21.48,726.87,87.84,1707.52,637.42,1267,4358,1620.0,3929.76,2246.28,1303,9410,3720.0,0.8,0.93,0,2,40,3.82,1.04,1.0,5.0,4.25
5,154.75,124.38,33.92,497.09,111.17,1585.98,542.51,1289,3900,1289.0,4917.98,1230.89,2463,7494,4827.0,0.26,0.44,0,1,13,4.88,0.16,4.5,5.0,5.0
6,86.25,50.08,22.44,240.11,68.36,1440.16,416.78,1293,3196,1293.0,1219.82,297.17,599,1959,1153.0,0.0,0.0,0,0,0,5.0,0.0,5.0,5.0,5.0
