,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,
1,297.76,299.8,17.27,1091.35,159.75,5075.13,3600.24,1069,10567,4832.0,2676.4,1388.32,741,7010,2449.5,0.64,0.79,0,2,64,4.6,0.33,3.33,5.0,4.67
2,202.58,226.81,11.92,752.56,83.46,2531.62,427.6,2133,3428,2545.0,737.72,152.59,382,1177,727.5,0.44,0.7,0,2,22,4.67,0.39,3.25,5.0,4.75
3,228.29,222.21,5.92,593.24,146.25,2557.44,376.78,1518,3460,2611.0,682.66,353.23,59,1954,615.0,0.82,0.9,0,2,41,4.05,0.96,1.75,5.0,4.5
4,191.11,181.16,14.91,616.57,97.17,1765.78,298.9,1162,2430,1511.0,1193.36,544.49,581,2584,921.0,0.58,0.67,0,2,29,4.49,0.23,4.0,5.0,4.5
5,171.56,197.28,10.96,710.3,53.01,2402.98,378.41,1500,3443,2148.0,806.88,274.42,357,1485,697.0,0.38,0.64,0,2,19,4.82,0.15,4.5,5.0,4.75
6,79.08,74.36,6.41,298.69,42.1,1531.86,279.09,1373,2022,1373.0,41.54,25.03,38,215,38.0,0.02,0.14,0,1,1,5.0,0.0,5.0,5.0,5.0
