,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score,accuracy,accuracy,accuracy,accuracy,accuracy
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,372.04,391.08,16.1,1275.6,77.69,5752.39,2797.4,1451,9850,7995.0,1811.72,799.26,425,4030,1704.0,0.41,0.67,0,2,41,4.52,0.76,2.33,5.0,4.81,0.75,0.06,0.57,0.95,0.76
2,276.56,307.86,16.76,1012.71,102.87,3533.12,1255.91,1321,5608,3085.0,941.54,369.38,249,2025,990.0,0.32,0.59,0,2,16,4.78,0.4,3.5,5.0,5.0,0.74,0.09,0.52,0.95,0.74
3,445.91,453.12,20.81,1335.24,45.14,3052.39,1083.21,1710,5049,2503.0,1446.39,367.83,631,3079,1424.0,0.82,0.93,0,2,40,4.25,0.64,2.75,4.75,4.5,0.74,0.09,0.52,0.95,0.76
4,458.63,507.19,24.45,1635.33,122.47,3696.98,1177.85,1659,5695,3512.5,1247.36,400.36,250,1983,1280.0,0.74,0.92,0,2,37,4.06,0.94,2.0,5.0,4.33,0.74,0.09,0.52,0.95,0.74
5,299.09,343.29,17.88,1124.38,113.57,3044.96,1031.26,1332,4870,2886.5,1029.88,434.19,259,2278,1044.5,0.3,0.61,0,2,15,4.8,0.53,2.5,5.0,5.0,0.74,0.09,0.52,0.95,0.74
6,267.88,293.98,12.33,883.21,108.58,2525.5,820.11,1207,3747,2418.5,467.14,243.96,99,954,455.0,0.38,0.64,0,2,19,4.78,0.38,3.5,5.0,5.0,0.74,0.09,0.52,0.95,0.74
