,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score,accuracy,accuracy,accuracy,accuracy,accuracy
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,302.91,322.21,11.55,1316.01,167.81,5203.64,3535.02,908,10672,5566.5,1950.3,892.43,566,5142,2033.0,0.76,0.9,0,2,76,4.06,1.04,1.33,5.0,4.57,0.75,0.05,0.62,0.86,0.76
2,176.83,189.34,8.62,559.95,96.65,2157.62,633.3,1295,3790,1974.0,604.5,157.9,272,1015,603.5,0.42,0.64,0,2,21,4.6,0.14,4.25,4.75,4.5,0.76,0.06,0.62,0.86,0.76
3,278.97,296.63,7.69,1023.99,154.83,1762.06,309.02,979,2466,1787.0,961.64,319.05,480,2288,905.0,0.78,0.86,0,2,39,4.18,0.64,2.5,5.0,4.5,0.76,0.06,0.62,0.86,0.76
4,315.99,315.95,9.15,854.31,198.2,2260.92,643.55,983,3827,2011.0,992.1,468.64,61,2529,926.0,0.94,0.98,0,2,47,4.05,0.56,2.0,4.75,4.25,0.76,0.06,0.62,0.86,0.76
5,171.44,195.46,13.96,726.77,71.78,1775.14,524.54,961,2997,1673.5,1166.36,451.29,60,2446,1107.5,0.2,0.4,0,1,10,4.59,0.25,4.25,5.0,4.5,0.76,0.06,0.62,0.86,0.76
6,145.19,146.54,7.18,511.05,78.13,1512.3,331.43,836,2542,1420.5,514.72,716.16,38,2958,260.5,0.48,0.5,0,1,24,4.92,0.19,4.5,5.0,5.0,0.76,0.06,0.62,0.86,0.76
