model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,average_initial_score,extraction_rate,not_found_count,accuracy,max_judge_retries,baseline_full_doc
gpt-oss:20b-cloud,291d9406681e_20260203145148,1,81.3375608921051,1281,1228,0,,,19.047619047619047,17,0.42857142857142855,0,False
gpt-oss:20b-cloud,291d9406681e_20260203145148,2,113.11395311355591,1321,923,0,,,19.047619047619047,17,0.42857142857142855,0,False
gpt-oss:20b-cloud,291d9406681e_20260203145148,3,109.64329290390015,1361,988,0,,,19.047619047619047,17,0.42857142857142855,0,False
gpt-oss:20b-cloud,291d9406681e_20260203145148,4,76.42566919326782,1352,324,0,,,19.047619047619047,17,0.42857142857142855,0,False
gpt-oss:20b-cloud,291d9406681e_20260203145148,5,46.81173825263977,1332,483,0,,,19.047619047619047,17,0.42857142857142855,0,False
gpt-oss:20b-cloud,291d9406681e_20260203145148,6,41.59739971160889,1207,124,0,,,19.047619047619047,17,0.42857142857142855,0,False
gpt-oss:20b-cloud,20fb1b39efcd_20260203145226,1,144.14124202728271,1281,535,0,,,33.33333333333333,14,0.38095238095238093,0,False
gpt-oss:20b-cloud,20fb1b39efcd_20260203145226,2,87.47698736190796,1321,559,0,,,33.33333333333333,14,0.38095238095238093,0,False
gpt-oss:20b-cloud,20fb1b39efcd_20260203145226,3,41.717201471328735,1361,737,0,,,33.33333333333333,14,0.38095238095238093,0,False
gpt-oss:20b-cloud,20fb1b39efcd_20260203145226,4,73.6199791431427,1352,426,0,,,33.33333333333333,14,0.38095238095238093,0,False
gpt-oss:20b-cloud,20fb1b39efcd_20260203145226,5,54.60591506958008,1332,1260,0,,,33.33333333333333,14,0.38095238095238093,0,False
gpt-oss:20b-cloud,20fb1b39efcd_20260203145226,6,35.60371494293213,1207,344,0,,,33.33333333333333,14,0.38095238095238093,0,False
gpt-oss:20b-cloud,fe3ae861e3e3_20260203145248,1,128.60305070877075,1281,1006,0,,,33.33333333333333,14,0.47619047619047616,0,False
gpt-oss:20b-cloud,fe3ae861e3e3_20260203145248,2,105.4042272567749,1321,357,0,,,33.33333333333333,14,0.47619047619047616,0,False
gpt-oss:20b-cloud,fe3ae861e3e3_20260203145248,3,82.53783059120178,1361,1486,0,,,33.33333333333333,14,0.47619047619047616,0,False
gpt-oss:20b-cloud,fe3ae861e3e3_20260203145248,4,43.230329275131226,1352,344,0,,,33.33333333333333,14,0.47619047619047616,0,False
gpt-oss:20b-cloud,fe3ae861e3e3_20260203145248,5,46.87768745422363,1332,1853,0,,,33.33333333333333,14,0.47619047619047616,0,False
gpt-oss:20b-cloud,fe3ae861e3e3_20260203145248,6,14.248460292816162,1207,209,0,,,33.33333333333333,14,0.47619047619047616,0,False
gpt-oss:20b-cloud,d571cf662d32_20260203145621,1,42.383363008499146,1281,306,0,,,19.047619047619047,17,0.3333333333333333,0,False
gpt-oss:20b-cloud,d571cf662d32_20260203145621,2,75.2898302078247,1321,471,0,,,19.047619047619047,17,0.3333333333333333,0,False
gpt-oss:20b-cloud,d571cf662d32_20260203145621,3,58.07605028152466,1361,1523,0,,,19.047619047619047,17,0.3333333333333333,0,False
gpt-oss:20b-cloud,d571cf662d32_20260203145621,4,31.42480444908142,1352,447,0,,,19.047619047619047,17,0.3333333333333333,0,False
gpt-oss:20b-cloud,d571cf662d32_20260203145621,5,47.78138208389282,1332,1599,0,,,19.047619047619047,17,0.3333333333333333,0,False
gpt-oss:20b-cloud,d571cf662d32_20260203145621,6,34.11003398895264,1207,156,0,,,19.047619047619047,17,0.3333333333333333,0,False
gpt-oss:20b-cloud,21dfe73e17f5_20260203145858,1,45.19911217689514,1281,813,0,,,19.047619047619047,17,0.5238095238095238,0,False
gpt-oss:20b-cloud,21dfe73e17f5_20260203145858,2,10.268474578857422,1321,332,0,,,19.047619047619047,17,0.5238095238095238,0,False
gpt-oss:20b-cloud,21dfe73e17f5_20260203145858,3,51.49943971633911,1361,710,0,,,19.047619047619047,17,0.5238095238095238,0,False
gpt-oss:20b-cloud,21dfe73e17f5_20260203145858,4,36.8948814868927,1352,237,0,,,19.047619047619047,17,0.5238095238095238,0,False
gpt-oss:20b-cloud,21dfe73e17f5_20260203145858,5,38.72945284843445,1332,1173,0,,,19.047619047619047,17,0.5238095238095238,0,False
gpt-oss:20b-cloud,21dfe73e17f5_20260203145858,6,13.050129175186157,1207,227,0,,,19.047619047619047,17,0.5238095238095238,0,False
gpt-oss:20b-cloud,89479c31affa_20260203145914,1,32.15596389770508,1281,327,0,,,19.047619047619047,17,0.5238095238095238,0,False
gpt-oss:20b-cloud,89479c31affa_20260203145914,2,35.79026985168457,1321,456,0,,,19.047619047619047,17,0.5238095238095238,0,False
gpt-oss:20b-cloud,89479c31affa_20260203145914,3,35.61336350440979,1361,1339,0,,,19.047619047619047,17,0.5238095238095238,0,False
gpt-oss:20b-cloud,89479c31affa_20260203145914,4,26.89323353767395,1352,357,0,,,19.047619047619047,17,0.5238095238095238,0,False
gpt-oss:20b-cloud,89479c31affa_20260203145914,5,34.8052933216095,1332,781,0,,,19.047619047619047,17,0.5238095238095238,0,False
gpt-oss:20b-cloud,89479c31affa_20260203145914,6,14.564135551452637,1207,467,0,,,19.047619047619047,17,0.5238095238095238,0,False
gpt-oss:20b-cloud,a00c1ab5a39e_20260203145903,1,44.56012558937073,1281,1129,0,,,28.57142857142857,15,0.6190476190476191,0,False
gpt-oss:20b-cloud,a00c1ab5a39e_20260203145903,2,39.205716609954834,1321,446,0,,,28.57142857142857,15,0.6190476190476191,0,False
gpt-oss:20b-cloud,a00c1ab5a39e_20260203145903,3,40.42471194267273,1361,1094,0,,,28.57142857142857,15,0.6190476190476191,0,False
gpt-oss:20b-cloud,a00c1ab5a39e_20260203145903,4,20.921409845352173,1352,300,0,,,28.57142857142857,15,0.6190476190476191,0,False
gpt-oss:20b-cloud,a00c1ab5a39e_20260203145903,5,39.75116991996765,1332,825,0,,,28.57142857142857,15,0.6190476190476191,0,False
gpt-oss:20b-cloud,a00c1ab5a39e_20260203145903,6,8.368394136428833,1207,218,0,,,28.57142857142857,15,0.6190476190476191,0,False
gpt-oss:20b-cloud,72dff89c5004_20260203145952,1,50.187543869018555,1281,615,0,,,23.809523809523807,16,0.38095238095238093,0,False
gpt-oss:20b-cloud,72dff89c5004_20260203145952,2,46.44277906417847,1321,1219,0,,,23.809523809523807,16,0.38095238095238093,0,False
gpt-oss:20b-cloud,72dff89c5004_20260203145952,3,38.24938702583313,1361,844,0,,,23.809523809523807,16,0.38095238095238093,0,False
gpt-oss:20b-cloud,72dff89c5004_20260203145952,4,12.420595169067383,1352,488,0,,,23.809523809523807,16,0.38095238095238093,0,False
gpt-oss:20b-cloud,72dff89c5004_20260203145952,5,53.16507649421692,1332,966,0,,,23.809523809523807,16,0.38095238095238093,0,False
