,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score,accuracy,accuracy,accuracy,accuracy,accuracy
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,471.28,474.79,9.12,1612.39,194.2,5297.43,3445.57,1281,9945,6240.0,2140.5,1257.08,255,6700,2039.0,0.82,0.93,0,2,82,4.16,0.87,2.0,5.0,4.62,0.67,0.15,0.33,0.86,0.71
2,321.99,364.16,10.27,1252.75,109.47,2132.24,1347.03,1321,5642,1321.0,1010.7,673.64,178,2578,802.0,0.58,0.86,0,2,29,4.53,0.61,2.75,5.0,4.75,0.56,0.15,0.33,0.86,0.52
3,468.52,480.07,10.6,1239.04,96.09,2097.84,1029.53,1361,4832,1529.5,1400.2,756.91,297,3420,1258.5,0.9,0.97,0,2,45,3.3,0.95,2.0,4.75,3.5,0.56,0.15,0.33,0.86,0.52
4,386.31,402.04,12.42,1072.42,76.43,2316.35,1418.6,1352,5688,1352.0,1064.24,880.87,195,3366,609.0,0.9,0.96,0,2,44,3.22,1.29,1.0,5.0,3.5,0.56,0.15,0.33,0.86,0.52
5,286.28,328.34,8.55,1055.06,58.15,1975.76,1066.09,1001,4735,1332.0,1332.14,771.55,194,3989,1193.0,0.46,0.79,0,2,23,4.47,0.71,3.0,5.0,4.75,0.56,0.15,0.33,0.86,0.52
6,226.86,283.63,8.37,917.58,65.36,1706.14,788.29,1207,3504,1207.0,476.96,386.15,124,1709,278.0,0.52,0.84,0,2,26,4.46,0.75,3.0,5.0,5.0,0.56,0.15,0.33,0.86,0.52
