experiment_id,timestamp,input_path,model_name,embedding_model,judge_model_name,chunk_size,chunk_overlap,temperature,extraction_rate,extracted_count,total_characteristics,average_description_length,processing_time_seconds,total_input_tokens,total_output_tokens,error_count,warning_count
506ac879cb90_20251203204937,2025-12-03T16:14:23.343719,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:14b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,19.047619047619047,4,21,2452.5,1486.2984342575073,5588,2516,0,0
506ac879cb90_20251203204955,2025-12-03T16:17:42.984158,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:14b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,14.285714285714285,3,21,1993.0,1667.8500111103058,0,0,0,0
506ac879cb90_20251203204949,2025-12-03T16:18:28.181783,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:14b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,0.0,0,21,0.0,1718.7411403656006,0,0,0,0
506ac879cb90_20251203204943,2025-12-03T16:19:32.986823,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:14b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,0.0,0,21,0.0,1789.504014968872,0,0,0,0
c304acb90db0_20251203211812,2025-12-03T16:40:25.297813,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:14b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,0.0,0,21,0.0,1332.8226001262665,0,0,0,0
c304acb90db0_20251203211857,2025-12-03T16:41:55.429947,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:14b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,14.285714285714285,3,21,2107.0,1377.6771039962769,3849,719,0,0
c304acb90db0_20251203211457,2025-12-03T16:42:35.638261,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:14b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,0.0,0,21,0.0,1657.8501071929932,0,0,0,0
c304acb90db0_20251203212058,2025-12-03T16:48:29.834385,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:14b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,0.0,0,21,0.0,1651.8084762096405,0,0,0,0
5142d6a12b82_20251203214114,2025-12-03T17:03:19.604251,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:14b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,0.0,0,21,0.0,1324.754268169403,0,0,0,0
5142d6a12b82_20251203214232,2025-12-03T17:07:33.599947,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:14b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,0.0,0,21,0.0,1501.3064076900482,0,0,0,0
