,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,
1,372.17,392.41,20.31,1437.8,162.71,5128.91,3163.04,1444,9712,5454.5,2499.65,1232.7,646,5104,2553.5,0.71,0.88,0,2,71,4.52,0.48,3.0,5.0,4.67
2,232.35,219.25,15.01,705.25,205.1,2346.48,416.73,1870,3777,2404.0,923.52,213.37,533,1516,905.5,0.68,0.77,0,2,34,4.56,0.23,4.0,5.0,4.5
3,276.36,278.96,8.71,975.13,180.03,2051.18,227.5,1865,2991,1941.5,929.68,350.61,475,2117,856.0,0.94,0.98,0,2,47,4.11,0.52,3.5,5.0,4.0
4,274.18,258.01,18.78,811.9,216.37,2884.86,510.1,1798,3952,3026.5,1112.24,721.68,314,3157,798.5,0.72,0.81,0,2,36,4.69,0.24,4.25,5.0,4.75
5,232.69,249.76,17.09,985.28,143.49,2094.78,366.97,1148,3717,2050.0,1153.8,547.56,610,2885,947.0,0.54,0.81,0,2,27,4.56,0.24,4.25,5.0,4.5
6,280.35,289.51,13.81,1089.12,165.32,2193.9,356.23,1463,3583,2058.5,635.52,393.86,201,1969,627.5,0.88,0.94,0,2,44,4.36,0.76,3.0,5.0,4.5
