,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score,accuracy,accuracy,accuracy,accuracy,accuracy
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,463.69,507.59,13.97,1972.12,187.66,5127.58,3446.17,1045,11389,4999.0,2853.05,1475.24,489,7122,3325.0,0.72,0.89,0,2,72,4.18,0.92,1.0,5.0,4.67,0.89,0.08,0.67,1.0,0.9
2,170.27,180.85,11.46,744.57,85.88,1377.5,176.47,991,1925,1340.0,742.34,109.63,521,998,754.0,0.1,0.3,0,1,5,4.8,0.2,4.25,5.0,4.75,0.83,0.07,0.67,1.0,0.83
3,393.1,422.82,7.48,1435.41,219.48,1559.7,265.62,1307,2103,1497.0,604.78,200.99,301,1195,566.5,0.88,0.94,0,2,44,4.04,0.82,2.5,5.0,4.25,0.83,0.07,0.67,1.0,0.83
4,428.78,477.53,23.37,1530.6,114.78,1736.1,312.4,1246,2289,1595.0,2089.78,544.37,788,3259,2129.5,0.68,0.89,0,2,34,4.32,0.33,3.5,5.0,4.25,0.83,0.07,0.67,1.0,0.83
5,299.08,357.64,9.49,1082.15,73.72,1455.58,273.63,1289,2402,1289.0,717.64,173.21,476,1137,677.5,0.42,0.7,0,2,21,4.72,0.2,4.25,5.0,4.75,0.83,0.07,0.67,1.0,0.83
6,295.82,303.48,9.14,929.17,161.68,1183.52,142.7,1053,1490,1053.0,390.04,176.11,38,858,332.5,0.72,0.81,0,2,36,4.42,0.61,3.0,5.0,4.5,0.83,0.07,0.67,1.0,0.83
