,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score,accuracy,accuracy,accuracy,accuracy,accuracy
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,472.46,441.99,29.89,1602.69,268.09,5456.92,3343.63,0,10483,6506.5,3201.26,1261.33,0,6207,3495.0,0.79,0.9,0,2,77,4.22,0.84,2.0,5.0,4.67,0.9,0.1,0.1,1.0,0.9
2,125.06,135.26,22.38,755.52,65.87,1555.54,717.69,1340,5577,1340.0,629.62,106.26,449,979,619.5,0.1,0.36,0,2,5,4.79,0.27,4.0,5.0,4.75,0.88,0.08,0.62,1.0,0.88
3,302.39,307.4,13.34,1153.82,100.82,1692.82,689.84,1307,5645,1307.0,901.73,475.6,430,2694,746.0,0.86,0.94,0,2,42,4.08,0.68,2.75,5.0,4.25,0.88,0.07,0.76,1.0,0.9
4,262.21,250.38,16.78,788.69,109.99,1981.76,797.1,1595,6135,1595.0,1368.7,376.24,820,2216,1223.5,0.66,0.87,0,2,33,4.25,0.28,3.75,4.75,4.25,0.88,0.08,0.62,1.0,0.88
5,297.22,252.13,36.4,1091.98,229.65,1555.6,735.81,940,5526,1289.0,1465.82,938.36,439,3580,1164.5,0.66,0.77,0,2,33,4.57,0.38,3.5,5.0,4.5,0.88,0.08,0.62,1.0,0.88
6,213.73,210.44,18.11,708.6,96.3,1324.16,650.32,1053,5114,1150.5,572.78,257.59,38,1126,530.5,0.86,0.93,0,2,43,4.1,0.72,3.0,5.0,4.0,0.88,0.08,0.62,1.0,0.88
