,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score,accuracy,accuracy,accuracy,accuracy,accuracy
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,371.66,379.53,13.63,1348.07,139.97,4797.12,3305.97,1076,9459,4554.0,2494.23,1306.66,596,6271,2309.5,0.64,0.79,0,2,64,4.56,0.42,3.33,5.0,4.67,0.8,0.21,0.43,1.0,0.88
2,239.8,295.82,15.84,1218.4,114.54,1437.62,182.46,1349,1973,1349.0,1412.6,406.48,669,2415,1409.0,0.28,0.61,0,2,14,4.87,0.16,4.5,5.0,5.0,0.61,0.11,0.43,0.86,0.57
3,429.25,439.23,11.62,1398.11,305.3,1553.06,249.38,1314,1942,1481.0,899.2,791.67,221,3766,541.5,1.0,1.01,0,2,50,2.8,1.01,1.0,5.0,2.75,0.61,0.11,0.43,0.86,0.57
4,409.39,448.57,23.86,1622.34,150.65,1753.54,272.47,1258,2369,1589.0,2158.54,689.48,697,4049,2067.5,0.8,0.95,0,2,40,4.0,0.67,2.5,5.0,4.0,0.61,0.11,0.43,0.86,0.57
5,297.39,326.43,20.54,1053.47,110.84,1451.1,239.53,954,1978,1285.0,1048.24,467.97,376,2265,985.0,0.64,0.85,0,2,32,4.67,0.37,4.0,5.0,4.75,0.61,0.11,0.43,0.86,0.57
6,232.69,231.23,8.29,762.48,87.99,1099.7,129.05,687,1316,1018.0,1132.26,868.9,144,4548,939.5,0.64,0.85,0,2,32,4.56,0.74,3.0,5.0,5.0,0.61,0.11,0.43,0.86,0.57
