,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score,accuracy,accuracy,accuracy,accuracy,accuracy
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21.89,47.23,2.15,196.99,5.77,1484.36,146.39,1436,1997,1436.0,572.04,341.21,150,1227,481.5,0.18,0.55,0,2,5,3.89,0.51,3.33,4.33,4.0,0.43,0.08,0.29,0.67,0.43
2,8.07,8.77,2.29,36.74,5.47,1476.0,0.0,1476,1476,1476.0,444.18,200.35,165,1133,408.5,0.0,0.0,0,0,0,5.0,0.0,5.0,5.0,5.0,0.43,0.08,0.29,0.67,0.43
3,29.19,47.57,3.86,174.47,13.76,1536.61,125.77,1185,1918,1516.0,1091.04,382.8,331,1687,1127.0,0.18,0.55,0,2,5,4.75,0.25,4.5,5.0,4.75,0.43,0.08,0.29,0.67,0.43
4,15.03,30.24,2.54,122.94,4.81,1530.21,126.0,1176,1889,1507.0,427.93,165.44,201,831,377.0,0.18,0.55,0,2,5,3.67,0.76,3.0,4.5,3.5,0.43,0.08,0.29,0.67,0.43
5,26.57,38.93,2.94,164.93,17.17,1507.29,137.36,1156,1997,1487.0,1244.57,666.64,220,2233,1443.0,0.18,0.55,0,2,5,4.67,0.38,4.25,5.0,4.75,0.43,0.08,0.29,0.67,0.43
6,16.04,25.73,3.33,137.73,7.53,1696.36,86.81,1389,1720,1720.0,776.39,596.65,197,2218,579.5,0.04,0.19,0,1,1,5.0,0.0,5.0,5.0,5.0,0.43,0.08,0.29,0.67,0.43
