model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,accuracy
ministral-3:14b-cloud,00ba3b8fc952_20260130065641,1,13.148487329483032,1444,1833,0,,0.5714285714285714
ministral-3:14b-cloud,00ba3b8fc952_20260130065641,2,6.18066930770874,1482,678,0,,0.5714285714285714
ministral-3:14b-cloud,00ba3b8fc952_20260130065641,3,6.273410081863403,1515,794,0,,0.5714285714285714
ministral-3:14b-cloud,00ba3b8fc952_20260130065641,4,3.8918819427490234,1519,497,0,,0.5714285714285714
ministral-3:14b-cloud,00ba3b8fc952_20260130065641,5,2.7518019676208496,1497,335,0,,0.5714285714285714
ministral-3:14b-cloud,00ba3b8fc952_20260130065641,6,2.954355001449585,1812,364,0,,0.5714285714285714
ministral-3:14b-cloud,2f49597a247b_20260130065828,1,11.018241167068481,1444,1144,0,,0.6666666666666666
ministral-3:14b-cloud,2f49597a247b_20260130065828,2,6.74074649810791,1482,776,0,,0.6666666666666666
ministral-3:14b-cloud,2f49597a247b_20260130065828,3,4.3945581912994385,1515,538,0,,0.6666666666666666
ministral-3:14b-cloud,2f49597a247b_20260130065828,4,4.8783652782440186,1519,587,0,,0.6666666666666666
ministral-3:14b-cloud,2f49597a247b_20260130065828,5,4.037840127944946,1497,383,0,,0.6666666666666666
ministral-3:14b-cloud,2f49597a247b_20260130065828,6,3.590869903564453,1812,447,0,,0.6666666666666666
ministral-3:14b-cloud,dfdac27fcc45_20260130065957,1,8.75481629371643,1444,1229,0,,0.6190476190476191
ministral-3:14b-cloud,dfdac27fcc45_20260130065957,2,4.558171510696411,1482,600,0,,0.6190476190476191
ministral-3:14b-cloud,dfdac27fcc45_20260130065957,3,4.398848056793213,1515,586,0,,0.6190476190476191
ministral-3:14b-cloud,dfdac27fcc45_20260130065957,4,6.634369850158691,1519,843,0,,0.6190476190476191
ministral-3:14b-cloud,dfdac27fcc45_20260130065957,5,2.898951768875122,1497,344,0,,0.6190476190476191
ministral-3:14b-cloud,dfdac27fcc45_20260130065957,6,3.1224567890167236,1812,325,0,,0.6190476190476191
ministral-3:14b-cloud,3fd33347b0d0_20260130070059,1,12.73166298866272,1444,1820,0,,0.6666666666666666
ministral-3:14b-cloud,3fd33347b0d0_20260130070059,2,7.867932558059692,1482,979,0,,0.6666666666666666
ministral-3:14b-cloud,3fd33347b0d0_20260130070059,3,4.634944677352905,1515,600,0,,0.6666666666666666
ministral-3:14b-cloud,3fd33347b0d0_20260130070059,4,2.971482276916504,1519,345,0,,0.6666666666666666
ministral-3:14b-cloud,3fd33347b0d0_20260130070059,5,4.7948384284973145,1497,655,0,,0.6666666666666666
ministral-3:14b-cloud,3fd33347b0d0_20260130070059,6,3.6739869117736816,1812,418,0,,0.6666666666666666
ministral-3:14b-cloud,3ad1677e0431_20260130070256,1,11.246659278869629,1444,1485,0,,0.6190476190476191
ministral-3:14b-cloud,3ad1677e0431_20260130070256,2,4.8299219608306885,1482,647,0,,0.6190476190476191
ministral-3:14b-cloud,3ad1677e0431_20260130070256,3,4.738813877105713,1515,525,0,,0.6190476190476191
ministral-3:14b-cloud,3ad1677e0431_20260130070256,4,4.361398696899414,1519,579,0,,0.6190476190476191
ministral-3:14b-cloud,3ad1677e0431_20260130070256,5,5.081239461898804,1497,602,0,,0.6190476190476191
ministral-3:14b-cloud,3ad1677e0431_20260130070256,6,2.8687546253204346,1402,340,0,,0.6190476190476191
ministral-3:14b-cloud,c9604345a255_20260130070432,1,18.694661140441895,1444,2011,0,,0.6190476190476191
ministral-3:14b-cloud,c9604345a255_20260130070432,2,8.240505456924438,1482,1023,0,,0.6190476190476191
ministral-3:14b-cloud,c9604345a255_20260130070432,3,4.913960695266724,1515,570,0,,0.6190476190476191
ministral-3:14b-cloud,c9604345a255_20260130070432,4,3.5704119205474854,1519,400,0,,0.6190476190476191
ministral-3:14b-cloud,c9604345a255_20260130070432,5,3.9669535160064697,1497,363,0,,0.6190476190476191
ministral-3:14b-cloud,c9604345a255_20260130070432,6,4.837078332901001,1402,294,0,,0.6190476190476191
ministral-3:14b-cloud,2d7b61a1a1c8_20260130070638,1,13.271446704864502,1444,1526,0,,0.6190476190476191
ministral-3:14b-cloud,2d7b61a1a1c8_20260130070638,2,5.667004585266113,1482,684,0,,0.6190476190476191
ministral-3:14b-cloud,2d7b61a1a1c8_20260130070638,3,4.562117099761963,1515,618,0,,0.6190476190476191
ministral-3:14b-cloud,2d7b61a1a1c8_20260130070638,4,5.046266555786133,1519,639,0,,0.6190476190476191
ministral-3:14b-cloud,2d7b61a1a1c8_20260130070638,5,2.915799617767334,1497,361,0,,0.6190476190476191
ministral-3:14b-cloud,2d7b61a1a1c8_20260130070638,6,2.630662202835083,1402,313,0,,0.6190476190476191
ministral-3:14b-cloud,8419c8dc0a60_20260130070741,1,8.385998964309692,1444,1163,0,,0.6190476190476191
ministral-3:14b-cloud,8419c8dc0a60_20260130070741,2,5.215365409851074,1482,580,0,,0.6190476190476191
ministral-3:14b-cloud,8419c8dc0a60_20260130070741,3,4.033064126968384,1515,532,0,,0.6190476190476191
ministral-3:14b-cloud,8419c8dc0a60_20260130070741,4,4.195330858230591,1519,545,0,,0.6190476190476191
