,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score,accuracy,accuracy,accuracy,accuracy,accuracy
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11.28,31.97,1.69,167.7,5.07,1686.62,729.75,1436,5001,1436.0,578.69,275.9,173,1172,636.0,0.08,0.39,0,2,2,2.0,,2.0,2.0,2.0,0.49,0.07,0.38,0.67,0.48
2,4.72,3.23,1.77,14.92,3.32,1821.23,904.73,1476,5593,1476.0,429.42,279.21,163,1239,312.0,0.0,0.0,0,0,0,5.0,,5.0,5.0,5.0,0.49,0.07,0.38,0.67,0.48
3,7.2,2.76,2.49,15.71,6.75,1708.58,599.09,1516,4457,1516.0,850.27,292.12,245,1657,779.0,0.0,0.0,0,0,0,5.0,,5.0,5.0,5.0,0.49,0.07,0.38,0.67,0.48
4,10.03,27.04,1.58,141.81,4.06,1945.69,974.27,1507,5777,1507.0,552.23,371.35,162,1395,378.0,0.08,0.39,0,2,2,4.0,,4.0,4.0,4.0,0.49,0.07,0.38,0.67,0.48
5,11.46,15.35,2.27,85.7,8.92,1766.08,822.84,1487,5566,1487.0,1155.0,374.1,300,2030,1217.5,0.04,0.2,0,1,1,4.25,,4.25,4.25,4.25,0.49,0.07,0.38,0.67,0.48
6,4.08,2.74,2.27,16.87,3.53,1923.65,597.73,1720,4353,1720.0,422.81,119.14,194,621,405.0,0.0,0.0,0,0,0,5.0,,5.0,5.0,5.0,0.49,0.07,0.38,0.67,0.48
