,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score,accuracy,accuracy,accuracy,accuracy,accuracy
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44.41,60.12,13.59,285.46,21.1,1463.73,136.85,1404,1793,1404.0,3723.8,1053.84,2065,6575,3625.5,0.23,0.57,0,2,7,4.53,0.18,4.33,4.67,4.67,0.43,0.07,0.29,0.62,0.43
2,20.83,32.44,7.33,177.59,10.57,1453.0,32.86,1447,1627,1447.0,1790.97,680.0,1118,4381,1641.0,0.1,0.4,0,2,3,4.9,0.22,4.5,5.0,5.0,0.43,0.07,0.29,0.62,0.43
3,50.28,65.82,10.58,261.82,22.95,1535.8,116.87,1487,1879,1487.0,4042.47,1011.18,1762,6336,4058.0,0.3,0.7,0,2,9,3.8,1.22,2.0,5.0,4.0,0.43,0.07,0.29,0.62,0.43
4,21.4,28.05,5.96,105.94,10.12,1512.63,107.3,1472,1840,1472.0,2028.9,1417.67,972,9109,1777.0,0.13,0.35,0,1,4,4.75,0.25,4.5,5.0,4.75,0.43,0.07,0.29,0.62,0.43
5,35.63,39.3,10.32,169.68,24.73,1493.3,98.96,1461,1820,1461.0,3940.53,1354.13,1445,6648,3831.0,0.1,0.31,0,1,3,4.85,0.14,4.75,5.0,4.75,0.43,0.07,0.29,0.62,0.43
6,26.23,17.61,7.86,92.89,20.56,1779.63,30.86,1774,1943,1774.0,3765.93,1889.47,1456,9271,3266.0,0.03,0.18,0,1,1,5.0,0.0,5.0,5.0,5.0,0.43,0.07,0.29,0.62,0.43
