model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,accuracy,max_judge_retries,baseline_full_doc
ministral-3:3b-cloud,ee922f14ecdd_20260130113525,1,5.309881210327148,1444,1351,0,,0.8095238095238095,0,False
ministral-3:3b-cloud,ee922f14ecdd_20260130113525,2,2.5813589096069336,1482,622,0,,0.8095238095238095,0,False
ministral-3:3b-cloud,ee922f14ecdd_20260130113525,3,2.906419277191162,1515,718,0,,0.8095238095238095,0,False
ministral-3:3b-cloud,ee922f14ecdd_20260130113525,4,3.0505290031433105,1519,733,0,,0.8095238095238095,0,False
ministral-3:3b-cloud,ee922f14ecdd_20260130113525,5,4.0475122928619385,1497,1095,0,,0.8095238095238095,0,False
ministral-3:3b-cloud,ee922f14ecdd_20260130113525,6,14.422261476516724,1402,4066,0,,0.8095238095238095,0,False
ministral-3:3b-cloud,1d37ab9c5f9c_20260130113625,1,5.041213512420654,1444,1332,0,,0.8095238095238095,0,False
ministral-3:3b-cloud,1d37ab9c5f9c_20260130113625,2,2.6218597888946533,1482,622,0,,0.8095238095238095,0,False
ministral-3:3b-cloud,1d37ab9c5f9c_20260130113625,3,3.523587226867676,1515,935,0,,0.8095238095238095,0,False
ministral-3:3b-cloud,1d37ab9c5f9c_20260130113625,4,4.369776010513306,1519,1067,0,,0.8095238095238095,0,False
ministral-3:3b-cloud,1d37ab9c5f9c_20260130113625,5,5.376819372177124,1497,1498,0,,0.8095238095238095,0,False
ministral-3:3b-cloud,1d37ab9c5f9c_20260130113625,6,6.80326247215271,1402,1184,0,,0.8095238095238095,0,False
ministral-3:3b-cloud,1299627cf0b5_20260130113748,1,3.071547269821167,1444,704,0,,0.7142857142857143,0,False
ministral-3:3b-cloud,1299627cf0b5_20260130113748,2,2.128086805343628,1482,481,0,,0.7142857142857143,0,False
ministral-3:3b-cloud,1299627cf0b5_20260130113748,3,2.2338027954101562,1515,523,0,,0.7142857142857143,0,False
ministral-3:3b-cloud,1299627cf0b5_20260130113748,4,3.2421741485595703,1519,814,0,,0.7142857142857143,0,False
ministral-3:3b-cloud,1299627cf0b5_20260130113748,5,4.15888237953186,1497,1080,0,,0.7142857142857143,0,False
ministral-3:3b-cloud,1299627cf0b5_20260130113748,6,9.531310796737671,1053,38,0,,0.7142857142857143,0,False
ministral-3:3b-cloud,f68b14afb783_20260130113836,1,2.6450934410095215,1444,600,0,,0.7142857142857143,0,False
ministral-3:3b-cloud,f68b14afb783_20260130113836,2,1.9553098678588867,1482,353,0,,0.7142857142857143,0,False
ministral-3:3b-cloud,f68b14afb783_20260130113836,3,2.998812198638916,1515,692,0,,0.7142857142857143,0,False
ministral-3:3b-cloud,f68b14afb783_20260130113836,4,2.8877058029174805,1519,729,0,,0.7142857142857143,0,False
ministral-3:3b-cloud,f68b14afb783_20260130113836,5,5.35021448135376,1497,1494,0,,0.7142857142857143,0,False
ministral-3:3b-cloud,f68b14afb783_20260130113836,6,9.702213048934937,1053,38,0,,0.7142857142857143,0,False
ministral-3:3b-cloud,08a0bf58f617_20260130113922,1,6.001060724258423,1444,1673,0,,0.9047619047619048,0,False
ministral-3:3b-cloud,08a0bf58f617_20260130113922,2,1.9147882461547852,1482,415,0,,0.9047619047619048,0,False
ministral-3:3b-cloud,08a0bf58f617_20260130113922,3,2.8763887882232666,1515,715,0,,0.9047619047619048,0,False
ministral-3:3b-cloud,08a0bf58f617_20260130113922,4,3.010427951812744,1519,726,0,,0.9047619047619048,0,False
ministral-3:3b-cloud,08a0bf58f617_20260130113922,5,5.486984491348267,1497,1483,0,,0.9047619047619048,0,False
ministral-3:3b-cloud,08a0bf58f617_20260130113922,6,17.206210613250732,1053,38,0,,0.9047619047619048,0,False
ministral-3:3b-cloud,7c1f53997bdd_20260130114047,1,3.5096919536590576,1444,898,0,,0.8571428571428571,0,False
ministral-3:3b-cloud,7c1f53997bdd_20260130114047,2,2.4483277797698975,1482,575,0,,0.8571428571428571,0,False
ministral-3:3b-cloud,7c1f53997bdd_20260130114047,3,7.038102149963379,1166,761,0,,0.8571428571428571,0,False
ministral-3:3b-cloud,7c1f53997bdd_20260130114047,4,3.0240464210510254,1519,751,0,,0.8571428571428571,0,False
ministral-3:3b-cloud,7c1f53997bdd_20260130114047,5,4.764588117599487,1497,1297,0,,0.8571428571428571,0,False
ministral-3:3b-cloud,7c1f53997bdd_20260130114047,6,4.830813646316528,1053,38,0,,0.8571428571428571,0,False
ministral-3:3b-cloud,3beb4c47e267_20260130114210,1,3.368396282196045,1444,827,0,,0.5714285714285714,0,False
ministral-3:3b-cloud,3beb4c47e267_20260130114210,2,3.4657280445098877,1133,137,0,,0.5714285714285714,0,False
ministral-3:3b-cloud,3beb4c47e267_20260130114210,3,2.561748743057251,1515,604,0,,0.5714285714285714,0,False
ministral-3:3b-cloud,3beb4c47e267_20260130114210,4,53.370879888534546,1519,213,0,,0.5714285714285714,0,False
ministral-3:3b-cloud,3beb4c47e267_20260130114210,5,4.549797296524048,1497,1230,0,,0.5714285714285714,0,False
ministral-3:3b-cloud,3beb4c47e267_20260130114210,6,9.535415410995483,1053,38,0,,0.5714285714285714,0,False
