,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score,accuracy,accuracy,accuracy,accuracy,accuracy
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,204.66,235.14,2.24,958.56,57.95,4748.66,3249.31,0,9444,4619.0,1511.29,828.5,0,2886,1667.5,0.57,0.79,0,2,57,4.57,0.5,2.33,5.0,4.67,0.82,0.11,0.48,1.0,0.86
2,144.38,165.68,1.25,530.0,41.63,1617.3,197.54,1133,1979,1482.0,477.5,152.88,137,750,485.5,0.44,0.61,0,2,22,4.73,0.23,4.25,5.0,4.75,0.77,0.1,0.48,0.95,0.76
3,193.29,221.45,1.95,723.21,36.56,1717.92,286.04,1166,2203,1515.0,748.12,168.88,411,1148,735.5,0.76,0.92,0,2,38,4.32,0.44,3.5,5.0,4.5,0.77,0.1,0.48,0.95,0.76
4,200.63,219.3,2.34,630.07,75.97,1693.86,271.72,1170,2182,1519.0,650.56,292.52,62,1571,684.0,0.78,0.89,0,2,39,4.39,0.46,3.25,5.0,4.5,0.77,0.1,0.48,0.95,0.76
5,186.73,205.6,2.69,581.58,62.97,1747.34,303.06,1148,2382,1497.0,1061.74,251.08,576,1709,1079.5,0.74,0.88,0,2,37,4.53,0.33,3.75,5.0,4.5,0.77,0.1,0.48,0.95,0.76
6,195.85,198.16,3.72,522.94,94.42,1591.72,472.67,1053,2142,1674.0,462.16,735.73,38,4066,323.0,0.98,1.0,0,2,49,3.58,0.62,3.0,5.0,3.5,0.77,0.1,0.48,0.95,0.76
