,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score,accuracy,accuracy,accuracy,accuracy,accuracy
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,391.43,396.4,13.82,1635.04,201.84,5680.63,3003.44,1587,10396,6344.5,2664.59,1625.09,946,9284,2030.0,0.68,0.85,0,2,68,4.45,0.55,3.0,5.0,4.67,0.77,0.05,0.62,0.86,0.76
2,325.62,354.97,12.76,1184.04,70.22,3433.98,1326.8,1974,5814,3345.5,827.2,257.41,478,1947,763.5,0.78,0.91,0,2,39,4.3,0.41,3.25,5.0,4.25,0.77,0.04,0.62,0.86,0.76
3,364.9,393.99,10.91,1444.51,169.69,2852.76,1221.32,1787,4993,2411.5,1121.16,454.2,637,2477,981.0,0.78,0.86,0,2,39,4.5,0.33,3.75,5.0,4.5,0.77,0.04,0.62,0.86,0.76
4,296.38,305.85,17.8,923.89,124.09,3504.7,1358.0,2011,5859,3258.5,1111.8,402.62,659,2548,1029.5,0.64,0.78,0,2,32,4.45,0.31,3.75,5.0,4.5,0.77,0.04,0.62,0.86,0.76
5,294.09,378.97,15.54,1549.59,107.28,2716.58,1125.03,0,4905,2448.0,1042.1,450.87,0,2672,964.5,0.46,0.81,0,2,23,4.28,0.67,2.75,5.0,4.5,0.77,0.04,0.62,0.86,0.76
6,136.22,141.12,9.54,444.2,66.35,2463.7,813.07,1185,3853,2323.0,270.78,114.03,38,638,282.5,0.26,0.53,0,2,13,4.76,0.25,4.5,5.0,5.0,0.77,0.04,0.62,0.86,0.76
