,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum
block_number,,,,,,,,,,,,,,,,,,,,
1,48.68,23.2,17.1,111.17,41.82,4485.7,162.34,4381,4844,4405.0,1687.83,1208.01,352,6927,1507.0,0.22,0.42,0,1,5
2,42.88,25.81,18.91,130.34,34.85,5203.9,189.47,5092,5586,5099.0,1467.25,493.98,602,2350,1415.0,0.35,0.67,0,2,7
3,152.54,106.52,29.12,408.04,108.64,4862.65,291.88,4577,5391,4603.0,2383.7,1324.39,627,6699,1994.0,1.13,1.1,0,3,26
4,78.76,38.57,25.28,183.53,73.89,5547.0,240.18,5123,5799,5637.0,1718.17,519.61,502,2660,1624.0,1.0,0.8,0,3,23
5,62.19,42.11,18.14,202.17,48.62,4635.87,251.05,4433,5181,4451.0,2122.52,1500.44,347,7342,1739.0,0.52,0.79,0,3,12
6,21.61,11.59,6.42,52.04,16.46,3703.0,95.02,3598,3899,3634.0,646.65,192.37,132,939,723.0,0.52,0.79,0,3,12
