,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,
1,153.09,151.7,13.59,634.25,83.38,4622.25,3074.65,1404,8970,4509.5,4599.08,1245.44,1988,8145,4581.5,0.46,0.72,0,2,46,4.58,0.79,2.0,5.0,4.93
2,131.04,145.56,7.33,517.29,38.4,1620.58,286.22,1447,2394,1447.0,2914.86,1970.71,1198,7637,1813.0,0.44,0.67,0,2,22,4.81,0.28,3.75,5.0,5.0
3,206.11,196.45,10.58,578.78,134.47,1716.84,259.09,1487,2346,1487.0,4538.12,1260.31,1762,8273,4253.0,0.86,0.93,0,2,43,3.54,1.14,2.0,5.0,3.0
4,165.32,172.22,5.96,534.6,92.89,1765.0,461.47,1472,3070,1585.0,3221.46,2103.59,972,7996,2212.0,0.7,0.79,0,2,35,4.75,0.33,3.75,5.0,4.75
5,154.49,178.71,10.32,670.58,54.65,1586.38,188.3,1461,1984,1461.0,4554.96,1539.18,1445,8541,4504.0,0.42,0.67,0,2,21,4.63,0.57,3.0,5.0,4.75
6,92.79,89.78,7.86,334.69,59.84,1807.36,72.0,1774,1970,1774.0,3639.68,1690.88,1456,9271,3334.0,0.2,0.45,0,2,10,4.94,0.17,4.5,5.0,5.0
