,processing_time,processing_time,processing_time,processing_time,processing_time,input_tokens,input_tokens,input_tokens,input_tokens,input_tokens,output_tokens,output_tokens,output_tokens,output_tokens,output_tokens,retries,retries,retries,retries,retries,average_score,average_score,average_score,average_score,average_score
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,sum,mean,std,min,max,median
block_number,,,,,,,,,,,,,,,,,,,,,,,,,
1,263.12,275.44,2.15,983.56,117.07,4802.27,3263.59,1105,9204,4534.5,1691.49,1185.54,150,4495,1614.0,0.85,0.94,0,2,85,3.72,1.47,1.0,5.0,4.67
2,180.26,223.76,2.29,778.42,42.77,1564.44,190.13,1145,1987,1476.0,708.34,590.97,145,2474,472.5,0.6,0.9,0,2,30,4.69,0.61,2.5,5.0,5.0
3,298.06,307.12,3.86,980.98,217.6,1715.12,278.58,1185,2244,1516.0,1311.14,783.04,258,5295,1193.5,1.0,1.01,0,2,50,2.4,0.92,1.0,5.0,2.0
4,243.53,257.54,2.54,661.31,9.33,1675.53,195.68,1176,1984,1507.0,671.57,382.24,201,1808,548.0,0.94,0.99,0,2,46,4.06,0.68,3.0,5.0,4.12
5,238.6,273.03,2.94,777.56,64.01,1672.86,238.95,1487,2278,1487.0,1350.66,649.6,220,2984,1399.5,0.72,0.93,0,2,36,4.17,0.96,2.0,5.0,4.5
6,93.38,107.98,3.33,432.4,51.89,1734.52,104.56,1389,2011,1720.0,790.44,522.82,111,2218,632.5,0.14,0.4,0,2,7,4.94,0.22,4.0,5.0,5.0
