model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,accuracy,max_judge_retries,baseline_full_doc
ministral-3:8b-cloud,5fd1471eb2ef_20260130144729,5,6.178539276123047,1497,1142,0,,,0,False
ministral-3:8b-cloud,5fd1471eb2ef_20260130144729,6,2.612651824951172,1402,408,0,,,0,False
ministral-3:8b-cloud,685df7c3d293_20260130144857,1,11.012198686599731,1444,2013,0,,,0,False
ministral-3:8b-cloud,685df7c3d293_20260130144857,2,8.22307801246643,1482,1356,0,,,0,False
ministral-3:8b-cloud,685df7c3d293_20260130144857,3,4.459221363067627,1515,792,0,,,0,False
ministral-3:8b-cloud,685df7c3d293_20260130144857,4,7.5410449504852295,1519,1395,0,,,0,False
ministral-3:8b-cloud,685df7c3d293_20260130144857,5,4.706533670425415,1497,833,0,,,0,False
ministral-3:8b-cloud,685df7c3d293_20260130144857,6,4.759085655212402,1402,441,0,,,0,False
ministral-3:8b-cloud,0d8c7f1f0005_20260130145026,1,13.006050109863281,1444,2444,0,,,0,False
ministral-3:8b-cloud,0d8c7f1f0005_20260130145026,2,7.813971519470215,1482,1095,0,,,0,False
ministral-3:8b-cloud,0d8c7f1f0005_20260130145026,3,5.6942808628082275,1515,1024,0,,,0,False
ministral-3:8b-cloud,0d8c7f1f0005_20260130145026,4,6.331746339797974,1519,1125,0,,,0,False
ministral-3:8b-cloud,0d8c7f1f0005_20260130145026,5,5.56148624420166,1497,995,0,,,0,False
ministral-3:8b-cloud,0d8c7f1f0005_20260130145026,6,2.656907558441162,1402,379,0,,,0,False
ministral-3:8b-cloud,b95af3d7961a_20260130145136,1,26.43414068222046,1095,1760,0,,,0,False
ministral-3:8b-cloud,b95af3d7961a_20260130145136,2,5.60764741897583,1482,1008,0,,,0,False
ministral-3:8b-cloud,b95af3d7961a_20260130145136,3,2.8431572914123535,1515,461,0,,,0,False
ministral-3:8b-cloud,b95af3d7961a_20260130145136,4,7.350897550582886,1519,1351,0,,,0,False
ministral-3:8b-cloud,b95af3d7961a_20260130145136,5,5.8681395053863525,1497,956,0,,,0,False
ministral-3:8b-cloud,b95af3d7961a_20260130145136,6,2.920999765396118,1402,486,0,,,0,False
ministral-3:8b-cloud,a1396666ede8_20260130145328,1,11.88829255104065,1444,2309,0,,,0,False
ministral-3:8b-cloud,a1396666ede8_20260130145328,2,4.466112375259399,1482,556,0,,,0,False
ministral-3:8b-cloud,a1396666ede8_20260130145328,3,4.629560470581055,1515,811,0,,,0,False
ministral-3:8b-cloud,a1396666ede8_20260130145328,4,6.372802495956421,1519,1157,0,,,0,False
ministral-3:8b-cloud,a1396666ede8_20260130145328,5,6.798645734786987,1497,1051,0,,,0,False
ministral-3:8b-cloud,a1396666ede8_20260130145328,6,2.767667531967163,1402,428,0,,,0,False
ministral-3:8b-cloud,ecd92167a1fe_20260130145445,1,10.533504962921143,1444,1660,0,,,0,False
ministral-3:8b-cloud,ecd92167a1fe_20260130145445,2,7.9216649532318115,1482,970,0,,,0,False
ministral-3:8b-cloud,ecd92167a1fe_20260130145445,3,6.41806435585022,1515,1020,0,,,0,False
ministral-3:8b-cloud,ecd92167a1fe_20260130145445,4,8.520208358764648,1519,1250,0,,,0,False
ministral-3:8b-cloud,ecd92167a1fe_20260130145445,5,5.450624227523804,1497,781,0,,,0,False
ministral-3:8b-cloud,ecd92167a1fe_20260130145445,6,3.2195804119110107,1402,467,0,,,0,False
ministral-3:8b-cloud,4cc393578859_20260130145612,1,7.252160310745239,1444,1342,0,,,0,False
ministral-3:8b-cloud,4cc393578859_20260130145612,2,6.280340194702148,1482,1153,0,,,0,False
