experiment_id,timestamp,input_path,model_name,embedding_model,characteristics_experiment_id,oml_valid,oml_line_count,oml_instance_count,oml_repetition_count,oml_max_retries,generation_time_seconds,error_count,warning_count
46dba86fce0c_20251203155519_oml,2025-12-03T11:05:03.973203,,ministral-3:3b-cloud,embeddinggemma,46dba86fce0c_20251203155519,False,419,51,5,5,50.2040319442749,0,0
ab8843383878_20251203160515_oml,2025-12-03T11:12:43.619206,,ministral-3:3b-cloud,embeddinggemma,ab8843383878_20251203160515,False,371,44,5,5,52.11514234542847,0,0
46dba86fce0c_20251203160627_oml,2025-12-03T11:15:41.103964,,ministral-3:3b-cloud,embeddinggemma,46dba86fce0c_20251203160627,False,404,55,5,5,58.5510892868042,0,0
c89933de2c91_20251203161254_oml,2025-12-03T11:20:22.920627,,ministral-3:3b-cloud,embeddinggemma,c89933de2c91_20251203161254,False,390,50,5,5,55.344844341278076,0,0
ab8843383878_20251203161552_oml,2025-12-03T11:22:40.719800,,ministral-3:3b-cloud,embeddinggemma,ab8843383878_20251203161552,False,463,73,5,5,57.33455467224121,0,0
b0b638a12968_20251203162034_oml,2025-12-03T11:27:32.330644,,ministral-3:3b-cloud,embeddinggemma,b0b638a12968_20251203162034,False,357,41,5,5,47.20248532295227,0,0
c89933de2c91_20251203162251_oml,2025-12-03T11:30:53.759675,,ministral-3:3b-cloud,embeddinggemma,c89933de2c91_20251203162251,False,328,44,5,5,49.893736362457275,0,0
7e2f42de6ae5_20251203162741_oml,2025-12-03T11:34:45.584721,,ministral-3:3b-cloud,embeddinggemma,7e2f42de6ae5_20251203162741,False,380,42,5,5,45.69483280181885,0,0
b0b638a12968_20251203163103_oml,2025-12-03T11:41:04.359089,,ministral-3:3b-cloud,embeddinggemma,b0b638a12968_20251203163103,False,378,50,5,5,50.54367113113403,0,0
a327b396fcf6_20251203163456_oml,2025-12-03T11:42:44.834574,,ministral-3:3b-cloud,embeddinggemma,a327b396fcf6_20251203163456,False,398,47,5,5,51.27323579788208,0,0
7e2f42de6ae5_20251203164114_oml,2025-12-03T11:50:21.669312,,ministral-3:3b-cloud,embeddinggemma,7e2f42de6ae5_20251203164114,False,453,60,5,5,65.16741752624512,0,0
d2652f3d8cb7_20251203164255_oml,2025-12-03T11:50:50.829862,,ministral-3:3b-cloud,embeddinggemma,d2652f3d8cb7_20251203164255,False,437,56,5,5,53.19530391693115,0,0
fd647d0c4c24_20251203165101_oml,2025-12-03T11:59:11.357881,,ministral-3:3b-cloud,embeddinggemma,fd647d0c4c24_20251203165101,False,449,55,5,5,63.453060150146484,0,0
a327b396fcf6_20251203165033_oml,2025-12-03T11:59:37.265401,,ministral-3:3b-cloud,embeddinggemma,a327b396fcf6_20251203165033,False,442,54,5,5,63.770588636398315,0,0
3e01f0edf124_20251203165925_oml,2025-12-03T12:05:52.442088,,ministral-3:3b-cloud,embeddinggemma,3e01f0edf124_20251203165925,False,263,35,5,5,48.442891359329224,0,0
d2652f3d8cb7_20251203165950_oml,2025-12-03T12:07:42.792960,,ministral-3:3b-cloud,embeddinggemma,d2652f3d8cb7_20251203165950,True,432,44,3,5,39.3532018661499,0,0
99bbc7035a9c_20251203170605_oml,2025-12-03T12:14:38.982150,,ministral-3:3b-cloud,embeddinggemma,99bbc7035a9c_20251203170605,True,352,43,2,5,23.20309829711914,0,0
fd647d0c4c24_20251203170755_oml,2025-12-03T12:17:04.671494,,ministral-3:3b-cloud,embeddinggemma,fd647d0c4c24_20251203170755,False,417,55,5,5,52.47480869293213,0,0
3e01f0edf124_20251203171715_oml,2025-12-03T12:25:57.148144,,ministral-3:3b-cloud,embeddinggemma,3e01f0edf124_20251203171715,False,352,47,5,5,54.358598709106445,0,0
99bbc7035a9c_20251203172610_oml,2025-12-03T12:34:49.749989,,ministral-3:3b-cloud,embeddinggemma,99bbc7035a9c_20251203172610,False,365,39,5,5,53.03587508201599,0,0
